system:index,ARVI,EVI,MNDVI,MNDWI,NDMI,NDVI,NDWI,NMDI,RDI,RECI,SAVI,TVI,date,.geo
20230102T054231_20230102T054230_T42RZP,0.126418398,0.5673576577,-0.2101553921,-0.2445267852,-0.04750604577,0.1319850145,-0.1994983455,0.6829031357,1.549729941,0.2235525502,0.2375454424,0.7943247609,2023-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230102T054231_20230102T054230_T43RBJ,0.1276590519,2.041100522,-0.2099487602,-0.2424331405,-0.04517948372,0.1331234063,-0.1996103823,0.6866407908,1.54898763,0.2268162716,0.2395942418,0.7950457273,2023-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230102T054231_20230102T054230_T43RBK,0.1531301349,1.914027325,-0.1939905053,-0.2198976552,-0.008896853689,0.1578699068,-0.2114295677,0.7256266427,1.500032781,0.2875483494,0.2841320942,0.8101600139,2023-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230102T054231_20230102T054230_T43RBL,0.1236843302,1.311554353,-0.2272906296,-0.2155585172,-0.02845214891,0.1295996668,-0.1881621703,0.7550662642,1.60528597,0.2364393591,0.2332523222,0.7926532408,2023-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230102T054231_20230102T054230_T43RCJ,0.1343944056,0.2888956493,-0.21867442,-0.2435805558,-0.05783026254,0.1380252709,-0.1884703202,0.6641780857,1.576399748,0.2357035852,0.2484147558,0.7982251887,2023-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230102T054231_20230102T054230_T43RCK,0.1333082608,1.207691683,-0.2210236538,-0.2439809228,-0.04881426263,0.1378887418,-0.1975664604,0.6846473972,1.582561918,0.2384785105,0.2481696311,0.7981115717,2023-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230102T054231_20230102T054230_T43RCL,0.1155510381,1.0642841,-0.24079284,-0.2274271539,-0.04304101127,0.121841456,-0.1861205865,0.7537299599,1.649690978,0.2193772455,0.2192891393,0.7878473846,2023-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230105T055231_20230105T055228_T42RYQ,0.1491371913,2.346230355,-0.0936258006,-0.2108911527,0.007966581396,0.1552641811,-0.2186296733,0.7662668771,1.226540875,0.2641518475,0.2794429907,0.8080770331,2023-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230105T055231_20230105T055228_T42RYR,0.1308419227,1.323583448,-0.11385096,-0.1987761753,-0.001920402742,0.1371621169,-0.1969418663,0.784337237,1.271593336,0.2287365573,0.2468633782,0.7973145061,2023-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230105T055231_20230105T055228_T43RBK,0.1603358012,2.327651441,-0.08636205232,-0.2125329424,0.008484952638,0.1655241003,-0.2207045037,0.7561371972,1.204071672,0.2770519101,0.2979074702,0.814755848,2023-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230105T055231_20230105T055228_T43RBL,0.1328197402,1.074954142,-0.1176680168,-0.2143223035,-0.01136701885,0.1390981716,-0.2034742043,0.7693825892,1.669567213,0.2282396587,0.2503471181,0.7985062384,2023-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230105T055231_20230105T055228_T43RCK,0.126863529,0.8906149668,-0.1217193438,-0.2330294595,-0.02952503729,0.1334571724,-0.2048588615,0.7357863033,1.286306189,0.2017477822,0.2401944086,0.7953765638,2023-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230105T055231_20230105T055228_T43RCL,0.1150239457,0.263765749,-0.143110615,-0.2263341951,-0.03548102833,0.1219797435,-0.1923073958,0.7713933821,1.34637818,0.1897681388,0.2195375156,0.7879106635,2023-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230107T054219_20230107T054218_T42RZP,0.10805504,1.13909206,-0.3225918578,-0.2234621518,-0.05956464982,0.1119876094,-0.1663218305,0.6580746754,1.976657979,0.2228329687,0.2015540999,0.7818081079,2023-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230107T054219_20230107T054218_T43RBJ,0.109417267,0.1562900498,-0.321087237,-0.2216200675,-0.05713759629,0.1132727694,-0.1668131631,0.6621901551,1.969990229,0.2259077549,0.2038670748,0.782635012,2023-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
