system:index,ARVI,EVI,MNDVI,MNDWI,NDMI,NDVI,NDWI,NMDI,RDI,RECI,SAVI,TVI,date,.geo
20220103T051209_20220103T052453_T44PKT,0.3599118937,-1.445994462,-0.3737330613,0.0343573964,0.2714885192,0.3503444799,-0.2392871222,0.5848474778,2.489991592,1.206035123,0.6304407312,0.9184872318,2022-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220105T050211_20220105T050210_T44PKS,0.5052913373,-2.853198289,-0.3277561285,-0.1764263837,0.2262715329,0.4996154651,-0.3870265058,0.5202037315,2.222139909,1.52279886,0.8990783657,0.9967603925,2022-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220105T050211_20220105T050210_T44PKT,0.5663826901,-2.778343714,-0.2400060009,-0.1413549537,0.2965556142,0.5602114637,-0.4188761225,0.5503156095,1.760767272,1.873118895,1.008120334,1.027541409,2022-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220105T050211_20220105T050210_T44PLS,0.4927544636,-2.677476148,-0.3175833895,-0.1339925967,0.2493248497,0.4861231452,-0.3651858045,0.5285654976,2.120144581,1.472262719,0.8747910871,0.9882879496,2022-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220105T050211_20220105T050210_T44PLT,0.5898928989,-3.359096201,-0.2389238383,-0.1617129199,0.3027692185,0.5843164654,-0.442329571,0.5488096079,1.715984353,1.902509086,1.051498786,1.040102401,2022-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220110T050159_20220110T050627_T44PLT,0.4672912338,-2.394446446,-0.3448463833,-0.08832064565,0.2589330422,0.4592986683,-0.335968477,0.5569474168,2.312777745,1.478882081,0.826509328,0.9752497017,2022-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220118T051141_20220118T052520_T44PKT,0.4580848722,-2.129525327,-0.1913369916,-0.01444877492,0.3163609219,0.4492847609,-0.3253976304,0.5987772798,2.543999535,1.526548488,0.8084876202,0.9702910735,2022-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220120T050119_20220120T050900_T44PKS,0.4614913359,-2.560525294,-0.2568225272,-0.1913017071,0.1832482579,0.4559632286,-0.3640192716,0.5223397974,1.890918607,1.239947687,0.8205408934,0.9758065209,2022-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220120T050119_20220120T050900_T44PKT,0.53093418,-2.33679762,-0.1413310093,-0.1395805657,0.2770511335,0.5249211864,-0.4016533581,0.5545881802,1.440376955,1.603115734,0.9446366526,1.01082249,2022-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220120T050119_20220120T050900_T44PLS,0.4441506456,-2.927723268,-0.2549125444,-0.1747201007,0.1797785897,0.4378989091,-0.3431872895,0.5184284838,1.856479452,1.138554628,0.7880245655,0.9659583434,2022-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220120T050119_20220120T050900_T44PLT,0.4923577652,-2.332851384,-0.2070674877,-0.1918422305,0.2107506334,0.4871324183,-0.3887063079,0.5141767586,1.628892255,1.271724979,0.876629215,0.9924477984,2022-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220123T051109_20220123T051704_T44PKS,0.5139617232,-3.518382489,-0.2299868935,-0.2022904795,0.2221101538,0.5091458777,-0.4073576551,0.5221018695,1.849963944,1.629583316,0.9162183433,1.001390232,2022-01-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220123T051109_20220123T051704_T44PKT,0.5677378292,-3.44701455,-0.1516818162,-0.1676731179,0.2912338948,0.5623990323,-0.4358831376,0.5529608486,1.504339271,1.95827698,1.012048242,1.028277355,2022-01-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220125T050101_20220125T050103_T44PLS,0.1896613474,-1.33332415,-0.1725196636,-0.06193541255,0.09078535546,0.1853430593,-0.1518046357,0.6395477075,1.463175771,0.4367192723,0.3335701942,0.8257642228,2022-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220202T051019_20220202T051818_T44PKT,0.2592738538,-1.963553706,-0.07527569781,-0.05231879999,0.1588073142,0.2548138235,-0.2088740331,0.6937649907,1.196379995,0.6299614163,0.4585987701,0.8660525188,2022-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220204T050011_20220204T050011_T44PKS,0.2591481924,-2.584637729,-0.1711904161,-0.1607735229,0.06480608393,0.2559879128,-0.2240662881,0.6025359876,1.455124688,0.5612212246,0.4607099751,0.8680743017,2022-02-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220204T050011_20220204T050011_T44PKT,0.3026759398,-2.795479689,-0.1101683211,-0.1338217788,0.1222056657,0.2989713785,-0.2526855881,0.625103193,1.280416749,0.6841908354,0.5380682487,0.8923462468,2022-02-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220204T050011_20220204T050011_T44PLS,0.233465536,-2.179946449,-0.1824873793,-0.1478469535,0.05212083888,0.2299911011,-0.1990837653,0.603968575,1.483530623,0.4899690339,0.4139215201,0.8531637076,2022-02-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
