system:index,ARVI,EVI,MNDVI,MNDWI,NDMI,NDVI,NDWI,NMDI,RDI,RECI,SAVI,TVI,date,.geo
0,0.2204784047,-1.806648471,-0.1302800746,-0.1436843528,0.05305327761,0.2170290461,-0.1953419041,0.6246635602,1.314391159,0.4462812912,0.3905902312,0.8453903579,2023-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.1382376083,-0.5414375663,-0.163824784,-0.02863687094,0.07320478066,0.1320856948,-0.1017766629,0.6228595116,1.412550296,0.3220889936,0.2377208044,0.7943747857,2023-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.2332113933,-2.448294233,-0.06096081946,-0.1606547863,0.05349476307,0.2304054546,-0.2122556433,0.642179721,1.148106939,0.4478267443,0.4146637667,0.8527150594,2023-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.1786514863,-1.042130447,-0.1414755635,-0.09622052139,0.05309624495,0.1738013585,-0.1487617877,0.6238442586,1.346000292,0.3760019617,0.3127957913,0.8197178073,2023-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.1902463243,-1.28926944,-0.1593841739,-0.112717461,0.05076912996,0.1859669971,-0.1627207271,0.6188998969,1.400221421,0.4154467103,0.3346903789,0.8268834468,2023-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.150136705,-1.082435096,-0.1656229606,-0.08365220755,0.04837918982,0.1465774416,-0.1316870197,0.6454589959,1.424659983,0.3450057278,0.2638013679,0.8022308208,2023-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.1697906495,-1.042178453,-0.1693235353,-0.09283211489,0.05067715221,0.1652801976,-0.143037923,0.6193216893,1.430438071,0.3801886789,0.2974613039,0.8144232602,2023-01-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.2186563502,-2.39815848,-0.0524166027,-0.1757249413,0.04184291587,0.2175084891,-0.2158430609,0.6449312609,1.134155706,0.4153118048,0.3914553261,0.8447078249,2023-02-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.2093825229,-1.211422389,-0.08466856736,-0.1818593795,0.03496794429,0.2090739042,-0.2153540145,0.6397457215,1.20992606,0.3949654665,0.3762755445,0.8397156988,2023-02-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.1963859461,-0.5639561894,-0.07247237388,-0.1853207237,0.0265072366,0.1966753847,-0.2107605778,0.6436852919,1.17717501,0.3517874634,0.3539618009,0.8326143668,2023-02-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.1823990584,-0.6009398884,-0.07736240465,-0.1815933005,0.01987529762,0.182770366,-0.2008850093,0.6460475141,1.187640673,0.3165573738,0.3289368676,0.8244750074,2023-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.1649567935,-0.469235656,-0.09500562324,-0.1816676352,0.00646856086,0.1656836805,-0.1880540132,0.6457597557,1.227707893,0.2863211492,0.2981853333,0.8142478108,2023-02-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.1147878809,-1.050938966,-0.2039789282,-0.1220386676,-0.005381839776,0.112370913,-0.1170674488,0.6258698403,1.532222992,0.2411428713,0.2022376372,0.7817730491,2023-03-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.01256783352,-0.1164244464,0.09905722077,0.2066648733,0.2295128257,0.01145694567,-0.02443224587,0.8340693122,0.8769328494,0.04568272729,0.02062056654,0.7146468257,2023-03-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.128459568,-1.165934272,-0.1853264768,-0.1677901965,-0.02266592389,0.1281453096,-0.1458845901,0.6474859255,1.474012344,0.2432465014,0.2306250844,0.7912234349,2023-03-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.09524845926,-0.7050258275,-0.200284255,-0.1122847134,-0.01860605013,0.09237584369,-0.09411425951,0.6550859667,1.522808316,0.2107354472,0.1662502248,0.7684303718,2023-03-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.07172705319,-0.6807024389,-0.184333579,-0.07909693891,0.004849154941,0.07079070989,-0.08478021842,0.6755876655,1.522977725,0.1699208522,0.1274036821,0.7542380755,2023-03-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.1173208003,-1.00195969,-0.1733129633,-0.1702143251,-0.03214126404,0.1177465836,-0.1389004169,0.6840019443,1.434752604,0.2132944092,0.2119098849,0.784578272,2023-03-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.112456652,-0.711565858,-0.2063405226,-0.171586572,-0.03585442274,0.1131654593,-0.13664621,0.6777830142,1.538530146,0.2142417885,0.2036653313,0.7816119087,2023-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.06991776601,-0.6526944723,-0.1637555291,-0.08373694269,0.001544069818,0.06953904511,-0.08602300397,0.6964715727,1.450465891,0.1565418791,0.1251520463,0.753390832,2023-04-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.08778670794,-0.9692557727,-0.2640352146,-0.1457131727,-0.04750645802,0.08665698987,-0.09906681946,0.6678545159,1.737501633,0.2065410637,0.1559572376,0.7648105227,2023-04-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0.09822559554,-0.9019961537,-0.2452911362,-0.1670879042,-0.04910097086,0.09832375035,-0.119123466,0.6793185686,1.667847804,0.2087234911,0.1769541761,0.7722060696,2023-04-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0.09191135627,-0.8935928544,-0.2508409276,-0.1502584635,-0.04656069157,0.09091228556,-0.1046126013,0.6765410998,1.688943061,0.2046745814,0.1636151743,0.7674207413,2023-04-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0.06551933596,-0.574452903,-0.1928284856,-0.08271080272,-0.00820690807,0.06382148792,-0.07504925484,0.7138918337,1.508059622,0.1603889417,0.1148611406,0.750061825,2023-04-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0.05764683593,-0.5222191743,-0.1790423955,-0.06988071807,-0.006900773888,0.05595305173,-0.06326689237,0.724109933,1.475681649,0.1538958904,0.1007017216,0.7445398857,2023-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0.1028824906,-1.140399875,-0.271983671,-0.1408437671,-0.035523095,0.10149545,-0.1058468311,0.6672791614,1.771825966,0.2495810613,0.1826624775,0.7736584071,2023-05-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0.1141847668,-1.480734006,-0.1967204472,-0.1420086361,-0.01729930116,0.1138545575,-0.1249316,0.7255278897,1.505941401,0.2285723861,0.2049063742,0.7819262531,2023-05-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,0.09842285225,-1.257540386,-0.2580508685,-0.1433786051,-0.03053941605,0.0984291115,-0.1133043103,0.6767933234,1.715248261,0.229033612,0.1771448532,0.7719318217,2023-05-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,0.08666089087,-1.214823956,-0.2698196943,-0.1333719646,-0.03119089335,0.0866562267,-0.1025949835,0.6889675085,1.753097824,0.216293953,0.1559569609,0.7647191458,2023-05-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,0.08763704188,-1.273392144,-0.2598985291,-0.1411602329,-0.03390082049,0.08811966896,-0.1077323334,0.6894699869,1.713843406,0.2053393303,0.1585904571,0.7657313134,2023-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,0.08814049169,-0.8032428645,-0.2473608491,-0.1464978805,-0.03366399643,0.08915259717,-0.1134061423,0.7153492429,1.670095301,0.1927293278,0.1604493947,0.7663509889,2023-05-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0.08007826155,-0.9442311937,-0.2532912023,-0.137902993,-0.03797536247,0.08034066467,-0.1004790526,0.6981240063,1.69142254,0.1858706573,0.144589754,0.7606718079,2023-06-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,0.06907489462,-0.7406961601,-0.2830246645,-0.1344481235,-0.04330360087,0.06954016086,-0.09177857718,0.6854280364,1.803310975,0.1879261812,0.1251521977,0.7536836915,2023-06-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,0.06728887797,-0.7820695744,-0.2692586029,-0.1274973547,-0.03740264312,0.06796839223,-0.09060149038,0.6901935309,1.747940081,0.1779171963,0.1223236626,0.7527269195,2023-06-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,0.04356763317,-0.5834222318,-0.2812580012,-0.082494708,-0.02146841675,0.04331791414,-0.06128489977,0.6785932033,1.807603414,0.1612265462,0.07796072855,0.7363017549,2023-06-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,0.07179848961,-0.5508822206,-0.2467125605,-0.05540568393,0.01030530702,0.06951423586,-0.06572696283,0.6865297769,1.6981209,0.2176086126,0.125111419,0.753790919,2023-07-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,0.03776021801,-0.2521238885,-0.3153773469,-3.83E-04,0.03528301244,0.03548562741,-0.03551216608,0.6527429171,1.971393322,0.2058925957,0.06386434656,0.7301833201,2023-07-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,-0.003476207059,0.07358101725,-0.2844818271,0.1021050845,0.1081087917,-0.004531966154,-0.005913940797,0.6332182133,1.866499679,0.1595284732,-0.00815823467,0.703264543,2023-07-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,0.008833371936,-0.03871021073,-0.3392567353,0.04597381694,0.0652532661,0.00801935415,-0.01929734319,0.6603148452,2.057610299,0.1439223375,0.01443324557,0.712451427,2023-07-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
