system:index,ARVI,EVI,MNDVI,MNDWI,NDMI,NDVI,NDWI,NMDI,RDI,RECI,SAVI,TVI,date,.geo
0,0.1351210771,0.1222198576,-0.4734914749,-0.2508460826,-0.0659264895,0.1371987188,-0.1885883949,0.6682226815,2.922013325,0.2979620072,0.2469123954,0.7970656242,2020-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.1086595385,0.336752465,-0.4233114933,-0.1554486293,0.004003954175,0.111772352,-0.1618125816,0.7318794508,2.744976403,0.2806222021,0.2011531257,0.7807951119,2020-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.160875937,1.037601327,-0.3901197904,-0.2709592877,-0.04966547726,0.1648884336,-0.2244598262,0.674571633,2.398014644,0.335573609,0.2967468376,0.8132769924,2020-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.1668941516,1.355437069,-0.4295947176,-0.3006593558,-0.0565528125,0.1739450397,-0.2473704002,0.6862300801,2.72269727,0.3915285661,0.3130426543,0.8179069936,2020-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.1791049729,0.9602979366,-0.3585098299,-0.2994891061,-0.05807503873,0.1832002364,-0.2458225054,0.6717135589,2.261309316,0.3685378484,0.3296995977,0.8238968616,2020-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.1829897883,1.48726776,-0.4288455672,-0.2930113077,-0.03860946732,0.1892499949,-0.256296317,0.6919239457,2.704785099,0.4358601471,0.3405857097,0.8265824276,2020-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.2012279322,1.45741091,-0.316006974,-0.33338765,-0.05880538431,0.2067651553,-0.2793987097,0.679070066,2.028194628,0.3935416959,0.372109058,0.8379075176,2020-01-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.2012698163,1.616477582,-0.3673666182,-0.3160503925,-0.03182058938,0.2091708139,-0.2852140983,0.7247479459,2.365350144,0.4815329691,0.3764366926,0.8374494631,2020-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.1829156317,0.9593393295,-0.4647982106,-0.3018368441,-0.06229622321,0.1868064162,-0.2435990354,0.633797896,2.955685761,0.4194348512,0.3361900039,0.8258278509,2020-01-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.2083730498,1.539002143,-0.3067184062,-0.3235676656,-0.04020627447,0.2147776624,-0.2862109728,0.6935784442,2.029115113,0.4395736347,0.3865293884,0.8416667669,2020-01-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.2026747829,1.280892498,-0.3682291512,-0.2787076196,-0.01373746771,0.2080264488,-0.2658765206,0.7185464623,2.39530146,0.4657731361,0.3743795656,0.8374248031,2020-02-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.2132042886,1.567550733,-0.2602924997,-0.34252858,-0.04759041903,0.2196441482,-0.2986757899,0.6872350885,1.819963668,0.4319076641,0.3952890962,0.8446984553,2020-02-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.2243652622,2.015235903,-0.2317712612,-0.2917585656,0.00432981378,0.2305947264,-0.2950203967,0.7270487592,1.794382996,0.4888890472,0.4149963979,0.8503205935,2020-02-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.1944457022,1.018446482,-0.4703727473,-0.3261668277,-0.06426929556,0.1998070016,-0.2669636101,0.64892479,3.032366118,0.4451023616,0.3595870861,0.8333222635,2020-02-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.2178583734,1.711687532,-0.252326548,-0.3392764836,-0.03354963662,0.2254618891,-0.3077566991,0.7038015561,1.810209978,0.4592805384,0.4057593874,0.8474352952,2020-02-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.2102175983,2.102047714,-0.3582557348,-0.2951135313,-0.009313708603,0.2168324573,-0.2855561795,0.6977360442,2.321317235,0.480465346,0.3902290402,0.8425198523,2020-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.1893583911,1.047067636,-0.5151599961,-0.3217045804,-0.06570367175,0.1945074589,-0.2611363225,0.6346171779,3.42082936,0.4403411882,0.3500509123,0.8303897499,2020-02-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.1963622782,1.597533308,-0.4651942261,-0.2944332998,-0.02403883403,0.2031392363,-0.2715336634,0.6863027424,3.023436502,0.4765029467,0.3655843408,0.8347321452,2020-02-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.1492062514,0.8130910395,-0.5319342271,-0.3294050954,-0.09096282482,0.1567298066,-0.2457675672,0.6098245293,3.438381403,0.3416918808,0.2820644147,0.8087448865,2020-02-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.1661304081,1.106063708,-0.506537976,-0.2934401064,-0.05694528255,0.1720022081,-0.2409099731,0.6343252528,3.272644067,0.3873601763,0.3095506142,0.8175629642,2020-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.1730039952,1.600517485,-0.3675156352,-0.2054991761,0.01917310914,0.1771458405,-0.224260842,0.6256617026,2.324062759,0.3962821086,0.318799048,0.8196709779,2020-03-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.1781171871,1.28118077,-0.4421376571,-0.3457255443,-0.07312597589,0.1866865522,-0.2786865882,0.6606911068,2.759572261,0.3810356674,0.3359770592,0.8256597973,2020-03-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.1487991745,0.9417037314,-0.4397488653,-0.2435130954,-0.02336268865,0.1550927155,-0.2217499123,0.6715473356,2.822567973,0.3596770817,0.2791179567,0.8065205925,2020-03-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.1584237929,1.168016047,-0.4598615956,-0.322312203,-0.07471497331,0.1660593775,-0.2530980347,0.6843739442,2.829942333,0.3248367088,0.2988572306,0.8142267353,2020-03-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.1521671469,0.9030862547,-0.4801401564,-0.3405749039,-0.08536246624,0.1616604525,-0.2621450703,0.6742355271,2.990145767,0.3266962421,0.2909388075,0.8112922678,2020-03-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.1286378139,0.6827875514,-0.5366048105,-0.3071184524,-0.07635433474,0.1387349053,-0.2354272012,0.6659161896,3.479519108,0.3093958392,0.249679811,0.7973648766,2020-03-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.1233228623,0.6807048258,-0.627040894,-0.3252067245,-0.1078701696,0.1320609064,-0.2254816584,0.6000881895,4.621644504,0.3202880614,0.2376687221,0.7938087656,2020-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.1259606747,0.6137281181,-0.5195347162,-0.3499320817,-0.1160576659,0.1363910051,-0.2434792093,0.6852416338,3.254342433,0.2666952294,0.2454609984,0.7965043073,2020-03-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.1086856481,0.4777370152,-0.5461816369,-0.3374356669,-0.1200969301,0.1194028545,-0.2265598329,0.6947812659,3.483023058,0.243159259,0.2148886298,0.786143887,2020-03-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.0854903967,0.3438032246,-0.5801673381,-0.3228541834,-0.1210162578,0.09751299072,-0.2098185598,0.7194891474,3.824563675,0.2225560591,0.1754934759,0.7723558518,2020-04-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.09803510233,0.4459650776,-0.5223906994,-0.3214824063,-0.1175823087,0.1082073839,-0.2118621356,0.7011061868,3.236834671,0.2217793016,0.1947420831,0.77939336,2020-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.07594124421,0.3014539134,-0.5901155249,-0.3140534597,-0.1215450436,0.08787553199,-0.2000155271,0.691195733,3.920811267,0.2150871035,0.1581500686,0.7663171675,2020-04-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0.09555832356,0.4151598639,-0.6208362407,-0.3426271364,-0.1383949596,0.1062298145,-0.2143833419,0.670121672,4.329775099,0.2394974474,0.1911826948,0.7781089464,2020-04-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0.07902063712,0.3344204106,-0.6455769241,-0.3341686646,-0.1435891709,0.09029070542,-0.2004536476,0.6511473292,4.744288069,0.2361879554,0.1624968231,0.7678272976,2020-04-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0.02091583272,0.1722329086,-0.3320211803,-0.07924525405,0.009586078656,0.02689861943,-0.08910066759,0.70122308,2.092743061,0.129042159,0.04841082876,0.7256437255,2020-04-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0.08988014838,0.3610825475,-0.6482849582,-0.3495374716,-0.145613094,0.1013953381,-0.2149006985,0.6612751767,4.749135471,0.2433872301,0.1824825817,0.7749607305,2020-04-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0.06114885325,0.2393751464,-0.6799216483,-0.3284295953,-0.1437241337,0.07428325331,-0.1937991783,0.6750229749,5.301510452,0.2242337593,0.1336877563,0.7574008275,2020-04-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0.08068399714,0.3424567764,-0.6752680264,-0.3437529685,-0.151582639,0.09197089264,-0.2027382297,0.6152550169,5.218073044,0.2427416327,0.1655210281,0.7689240372,2020-04-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0.08413247905,0.3128908143,-0.6147970668,-0.3433890815,-0.1401258688,0.09650387132,-0.2136399086,0.6849388426,4.241034485,0.2213749769,0.1736801981,0.7718021473,2020-04-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0.05999530897,0.2150067533,-0.6520321344,-0.3303579309,-0.1410577652,0.0737999732,-0.198509664,0.6946444052,4.789001025,0.2066700323,0.1328190507,0.757111325,2020-05-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0.09704024971,0.3422820183,-0.5094029237,-0.356840753,-0.1376092625,0.1093253284,-0.2305236761,0.7114470974,3.105008812,0.2062384052,0.1967559118,0.7800956408,2020-05-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0.0572022736,0.2052312008,-0.6488571844,-0.3246314922,-0.1379741689,0.07106293456,-0.19534139,0.668297471,4.727372467,0.2045441231,0.1278934828,0.7553405643,2020-05-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,0.07384242372,0.3079476858,-0.6758677166,-0.3332837651,-0.145239808,0.0857359838,-0.1977302168,0.6428903326,5.330162143,0.2343579525,0.1543019408,0.7648967737,2020-05-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,0.04958865435,0.1943951217,-0.6950139066,-0.322090831,-0.1481984175,0.06301723952,-0.1825772398,0.6683764512,5.589676446,0.2107552375,0.11341322,0.7500816565,2020-05-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,0.07356300338,0.2422822206,-0.4732835386,-0.3311508807,-0.1258237361,0.08725231985,-0.2142139168,0.7531957077,2.811456605,0.1686008255,0.1570305946,0.7660259293,2020-05-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,0.07953124146,0.297427286,-0.6363750738,-0.3420560156,-0.1457469718,0.0917598221,-0.2066102846,0.6811228955,4.533650966,0.2173823753,0.1651431389,0.7688725577,2020-05-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,0.05049023413,0.1824586586,-0.6513392795,-0.3222954997,-0.1416251334,0.06474953605,-0.1893078697,0.7005510541,4.761993515,0.1933795226,0.1165314961,0.7512046138,2020-05-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,0.07540230981,0.2802832805,-0.6176122436,-0.3350374423,-0.141843112,0.08778729191,-0.2028201338,0.6512481301,4.266153794,0.2087098949,0.1579940353,0.766281284,2020-05-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,0.05463478762,0.2337034337,-0.6929409357,-0.3079092689,-0.1408607739,0.06671168544,-0.1750188649,0.6110536529,5.756195185,0.2277501892,0.1200629414,0.7523353581,2020-05-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0.03881095457,0.1618871258,-0.7197544603,-0.3031688563,-0.1436384959,0.05248002499,-0.1667952094,0.6589684251,6.182393903,0.2145664352,0.09444908011,0.7430212481,2020-06-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,0.06509827719,0.3007346978,-0.7262553448,-0.3155977795,-0.1461227069,0.07634313591,-0.177702228,0.6089221774,6.360509777,0.2485222486,0.1373962254,0.7587336749,2020-06-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,0.03958413782,0.1660065358,-0.7481158499,-0.3046698176,-0.1436544714,0.05354112871,-0.1683194445,0.6094713231,6.992306751,0.2346174937,0.09635896162,0.7436165562,2020-06-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,0.06892588027,0.3096482927,-0.7523357851,-0.325793737,-0.1488165962,0.08052022617,-0.1859894032,0.6023866264,7.239389053,0.277938092,0.144914105,0.761446878,2020-06-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,0.06320985949,0.2772521082,-0.7199696654,-0.3206890139,-0.1458951549,0.07526919545,-0.1833974397,0.6166518191,6.20903189,0.2549056549,0.1354633353,0.7579382467,2020-06-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,0.04483937452,0.174587231,-0.7111513575,-0.3060127359,-0.1380068126,0.05880154792,-0.1753691036,0.6319681196,5.963422974,0.2236459817,0.1058265895,0.7472080316,2020-06-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,0.07832040602,0.2869011454,-0.73782914,-0.3542862075,-0.160495693,0.09100616272,-0.2056699599,0.6117520964,6.779572403,0.279154464,0.1637291511,0.768199797,2020-06-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,0.02522803741,0.1341742808,-0.7752676463,-0.2851768188,-0.146898412,0.037839514,-0.1449089382,0.5627688274,8.705152382,0.2635462751,0.06810041959,0.7330343259,2020-06-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,0.05363985985,0.3256677959,-0.7068764348,-0.2688532654,-0.1253969498,0.06315223283,-0.148545349,0.5239902791,6.107261276,0.2709593135,0.1136555199,0.7500010322,2020-06-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,0.06017939445,0.3786149262,-0.7447767962,-0.2858012657,-0.1308003711,0.0704955821,-0.1611326141,0.5598249464,7.240543899,0.2926459616,0.1268713378,0.7548155091,2020-06-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,0.04750773418,0.1916507587,-0.7416688005,-0.3013097231,-0.1337333766,0.0610724465,-0.1745221101,0.6212613195,6.824708619,0.2646410883,0.1099132448,0.7485865413,2020-07-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,0.0692471289,0.4330551357,-0.7076359404,-0.2759684238,-0.1197690118,0.07825096963,-0.1617696878,0.535737718,6.417872867,0.3059299705,0.1408288457,0.7598616179,2020-07-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,0.04565648038,0.27220942,-0.8050222869,-0.2522167971,-0.1183958866,0.0556665352,-0.1386732611,0.4994752959,9.645339564,0.3145548763,0.1001832577,0.7446402786,2020-07-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,0.07156894306,0.427981134,-0.744815909,-0.2485399647,-0.09984664491,0.07966835299,-0.1527166305,0.5534628403,7.08321813,0.3293956115,0.1433832012,0.7605834266,2020-07-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,0.08887576549,0.4397323228,-0.775003817,-0.3068546386,-0.1249745044,0.09895154949,-0.1891575246,0.5487217036,8.09739907,0.3584214263,0.1780842544,0.7727787691,2020-07-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,0.09328502609,0.4161683017,-0.7275381795,-0.2461405571,-0.09385687807,0.09872572743,-0.1565935852,0.5163007738,6.842897649,0.3765399331,0.1776799134,0.7727572334,2020-07-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,0.1024009372,0.4286841689,-0.7477858587,-0.2963151581,-0.09721981407,0.1136594406,-0.2042547775,0.5928879776,7.111339094,0.393203217,0.2045544703,0.7817725817,2020-07-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,0.1258551515,0.6947836255,-0.7055102262,-0.2581268271,-0.0790605772,0.1314055789,-0.1830889269,0.4902760867,6.774803147,0.4560681743,0.2364945405,0.7930800792,2020-07-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,0.1310378387,0.4789179666,-0.660631762,-0.2268105839,-0.05002158615,0.1357323267,-0.1788202198,0.5441459287,5.783173123,0.4767012842,0.2442812485,0.7957697125,2020-07-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,0.0997454877,0.4662393976,-0.7310192674,-0.2738474794,-0.08172843615,0.1106293967,-0.1958696603,0.5992495709,6.671044358,0.4056699108,0.1991019305,0.779846296,2020-08-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,0.2312632436,1.431658267,-0.6915113995,-0.3110101387,-0.02618305974,0.2371125336,-0.285375768,0.5321760158,5.711253118,0.6957018252,0.4267365936,0.8560897202,2020-08-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,0.1860514916,0.7972933938,-0.6823810848,-0.1574148523,0.03975731862,0.1875840523,-0.1961226908,0.5307675049,6.207009349,0.6719745083,0.3376039889,0.8275320801,2020-08-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,0.1463781715,0.9401741087,-0.6883491946,-0.2402682018,-0.03066385785,0.1538982345,-0.2056678598,0.5832402995,6.018865177,0.5388250468,0.2769742242,0.8056902423,2020-08-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,0.2224529121,1.271521745,-0.7205486868,-0.2206440828,0.02233688817,0.2256566722,-0.2407815841,0.509391696,6.99676869,0.7985795994,0.4061142485,0.847782515,2020-08-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,0.2362598703,1.111469043,-0.7140520551,-0.235814117,0.02711513856,0.2400899735,-0.2610405014,0.5413978648,6.86557315,0.897919039,0.432081051,0.8554863676,2020-08-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,0.2756904053,0.6312646515,-0.6432508872,-0.1990362231,0.07002771795,0.2760339016,-0.264421451,0.5395099351,5.210488082,0.9146475773,0.4967804657,0.8772800088,2020-08-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,0.2481257177,0.8285870443,-0.5975347638,-0.1722739102,0.07039280939,0.2487185871,-0.2388776536,0.5432337593,4.364499031,0.7989959648,0.4476158297,0.8620463711,2020-08-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,0.2965802605,-2.177480411,-0.6574451301,-0.1564354267,0.09073539807,0.29326581,-0.2436219037,0.4924812304,5.169468745,0.9002044563,0.5277853343,0.8885502747,2020-09-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,0.3481406684,4.009508532,-0.5993734436,-0.26734129,0.0788230365,0.3501898775,-0.3362177351,0.5337555986,4.529927365,1.097225314,0.6302270419,0.9173704474,2020-09-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,0.3328995029,-0.9358940195,-0.5489917677,-0.1958960488,0.1015514166,0.330944795,-0.2907773269,0.5512185313,3.75732626,1.012567974,0.5956014815,0.9091326894,2020-09-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,0.3996235364,2.776851463,-0.6185445788,-0.3127535102,0.06854427246,0.400416635,-0.3709695724,0.5044557032,4.751223583,1.177784389,0.7206171519,0.9454007825,2020-09-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,0.3100186603,2.786986068,-0.6423171313,-0.2328846058,0.07002293198,0.310798832,-0.2976474273,0.5219373876,5.216341815,0.9761585265,0.5593333733,0.8964762105,2020-09-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,0.3405201356,0.8701662058,-0.6592301369,-0.2233496144,0.07991129386,0.3384827916,-0.2987787689,0.4867656776,5.491362619,1.043274143,0.6091550608,0.9127436205,2020-09-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,0.3377822358,3.266145266,-0.4410801773,-0.3160179801,0.0493815208,0.3413905226,-0.3573200481,0.5970126288,2.825350219,0.8972267332,0.6143908839,0.9136309851,2020-09-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,0.3656132491,4.243612455,-0.4952201913,-0.3453238098,0.0227671884,0.367092611,-0.363749469,0.511335728,3.192192713,0.8750707697,0.6606435252,0.9286377985,2020-09-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,0.3060266439,3.12695381,-0.5981397182,-0.3277045645,0.001108529189,0.3089252316,-0.3277182021,0.5067803228,4.254097945,0.7768496381,0.5559635067,0.8969028108,2020-09-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,0.2919438245,2.214332926,-0.4074627681,-0.3336034751,0.01251542743,0.2973791939,-0.3425279063,0.606225289,2.596098589,0.7010035374,0.5351866576,0.8894289716,2020-09-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,0.2916290059,2.729742646,-0.497444389,-0.3629416942,-0.02935294197,0.2956025138,-0.3361708723,0.5181975316,3.162882455,0.6447401618,0.5319889022,0.889656119,2020-10-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,0.2651651756,1.983807986,-0.4505796307,-0.3715404286,-0.04632723547,0.2704182863,-0.3301965731,0.5490364934,2.77426236,0.5441056178,0.4866672368,0.8756518011,2020-10-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,0.2372512185,1.613924902,-0.3452325276,-0.3478975594,-0.03332018545,0.2438250803,-0.3173725659,0.6035831965,2.150591412,0.4674678913,0.4388096945,0.860261808,2020-10-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,0.1157388466,-0.282313336,-0.58872866,-0.1717670446,-0.02854205955,0.1164205299,-0.1452404021,0.5438311427,4.169465616,0.3543370495,0.2095217155,0.7844486082,2020-10-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,0.1535304945,-0.2331939183,-0.6144420475,-0.2129986518,-0.04173012861,0.1526628376,-0.1749252623,0.5032840349,4.715601766,0.4337596581,0.2747429589,0.8063185384,2020-10-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,0.2074162398,1.485128095,-0.3567289913,-0.344288019,-0.05536410718,0.2144603519,-0.2938197529,0.6480082431,2.196462219,0.4085728942,0.3859578959,0.8432293725,2020-10-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,0.2092097412,1.471935941,-0.4134921929,-0.3715977916,-0.09267841994,0.214645757,-0.288555138,0.5825867075,2.492833979,0.4021691459,0.3862908805,0.8441174032,2020-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,0.186567165,1.448380973,-0.3966646035,-0.3429817464,-0.08681869912,0.1917002118,-0.2640264486,0.6159656289,2.372929076,0.3493101246,0.3449977148,0.8307760782,2020-10-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,0.1625580058,1.084311073,-0.3803023179,-0.3248055166,-0.07759378422,0.1693921361,-0.2533957097,0.6706043162,2.287224992,0.3078532575,0.3048521297,0.8171993899,2020-10-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
