system:index,ARVI,EVI,MNDVI,MNDWI,NDMI,NDVI,NDWI,NMDI,RDI,RECI,SAVI,TVI,cloudPercent,date,year,.geo
3,0.498493367,-3.463472349,-0.2906263284,-0.1876983598,0.2251799746,0.4935359805,-0.3953776534,0.533183061,2.345076491,1.559655682,0.8881256325,0.9922943909,0,2016-01-10,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.5428809121,-3.757305268,-0.05625368517,-0.1718208805,0.2801819928,0.5380114606,-0.4292897257,0.5619198306,1.28049492,1.795668817,0.9681665323,1.014499576,0,2016-01-28,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.3445592308,-1.510818171,-0.3758953154,-0.2115317926,0.1025844288,0.341514381,-0.3109679748,0.4862951062,2.511890008,0.9238417894,0.6145764088,0.9136341723,0,2016-02-09,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.342807515,-1.783773435,-0.4150419238,-0.07856132617,0.1883246397,0.3357803111,-0.2639423058,0.5169322092,2.817453932,0.9916845979,0.6042505834,0.9102175194,0,2016-02-18,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.2062656077,-0.9345842436,-0.4027705725,-0.1269073644,0.07078678047,0.2028534678,-0.198676585,0.5062316342,6.058391173,0.4991289557,0.3650528285,0.8362755196,0,2016-03-10,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.2795358963,-0.0107537451,-0.4774023925,-0.285649534,-0.003113233332,0.2794006043,-0.2875343064,0.4583162322,3.177769024,0.6511818296,0.5028184669,0.8795465323,0,2016-03-25,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.189328689,0.6616200036,-0.5945199996,-0.2914690524,-0.05505861856,0.1917431194,-0.2438336068,0.4014037046,5.756534686,0.5008085259,0.3450685948,0.8296202827,0,2016-04-09,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0.1971927228,0.1368574937,-0.6066524515,-0.2209079623,-0.01323810311,0.1960340445,-0.2090172885,0.427695366,4.692509672,0.5852865931,0.3527850578,0.8297744676,0,2016-04-18,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0.2407110598,-0.684557275,-0.5151925379,-0.2173219536,0.02632440982,0.2403923591,-0.2447872776,0.4760764129,3.460032039,0.6262504178,0.4326257768,0.8574253224,0,2016-04-24,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0.1936787573,0.3550590597,-0.5451978698,-0.2563689718,-0.02333941294,0.195764332,-0.2353441404,0.4401558972,3.700091261,0.509094008,0.3523063947,0.8311699649,0,2016-04-27,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0.1018213528,-1.240571927,-0.1065298744,2.39E-04,0.1223374524,0.1012319482,-0.1225049106,0.6825844806,1.258322966,0.2618541376,0.1821923892,0.7753108196,0,2016-05-09,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,0.4035192975,0.9748548682,-0.5907365458,-0.303279577,0.07347229119,0.4031061216,-0.3678593751,0.4604100351,4.584381771,1.243300349,0.7254421585,0.9453744708,0,2016-06-05,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,0.298854253,1.551485145,-0.624188272,-0.2873697059,0.02132854644,0.2997904132,-0.3080490214,0.4394234334,4.731348854,0.8337080399,0.5395087107,0.8910164075,0,2016-07-08,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,0.3364948824,1.285984432,-0.6087375278,-0.2805688187,0.05495688063,0.3369870379,-0.3321586004,0.4471384905,4.61050735,0.9375734219,0.6064598646,0.9117152238,0,2016-07-14,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,0.3153529029,-0.7906882797,-0.6085360664,-0.1989267943,0.09311154963,0.3149139333,-0.2929393923,0.4659508263,4.992610038,0.8579087461,0.5667027827,0.8984500057,0,2016-07-17,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,0.3815402263,2.773471105,-0.6163818591,-0.2884024888,0.07388917029,0.381569897,-0.3569289103,0.4317591685,4.764973905,1.074351607,0.6866662827,0.9348135391,0,2016-07-26,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,0.3590793084,0.5757386596,-0.5118685192,-0.2209932817,0.1124648686,0.3583973346,-0.3267032901,0.5043029315,3.510974821,1.011155481,0.6449646877,0.9220357481,0,2016-08-07,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,0.1112314986,0.975713945,-0.3558576726,-0.09004696979,0.05268877302,0.112952855,-0.1421688762,0.6306945958,2.157409491,0.3340360189,0.2032898651,0.7825369575,0,2016-08-16,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,0.3317795935,1.351593702,-0.6181033213,-0.3108883619,0.02918063518,0.3333911326,-0.338173919,0.443785775,4.878769861,0.9201593228,0.5999841849,0.908958407,0,2016-08-22,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,0.500639693,-0.7342404592,-0.4766339266,-0.275900027,0.171180488,0.4993291074,-0.4242842735,0.5155888609,3.438582198,1.635743638,0.898580297,0.9944590064,0,2016-09-15,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,0.2543146588,0.5355841846,-0.4943504105,-0.2217278621,0.04072423745,0.2544477365,-0.2592812471,0.5202512333,3.054704727,0.6811874854,0.4579230959,0.8663567253,0,2016-09-24,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,0.334898636,0.870123889,-0.5340065115,-0.2589831133,0.06206827281,0.3343318883,-0.3188117659,0.4768651946,3.772058146,0.876166358,0.601675126,0.9095759626,0,2016-10-03,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,0.3814356317,-3.504525191,-0.4933526724,-0.2097788033,0.1316182575,0.3792360321,-0.3308217852,0.4844320942,3.449442787,1.107989485,0.6824583535,0.9322589037,0,2016-10-06,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,0.3081064817,-2.479543302,-0.4899115457,-0.1720674444,0.09418768482,0.3039533365,-0.2648172857,0.4833914913,3.244880418,0.8048617182,0.5469942704,0.8942450295,0,2016-10-15,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,0.2996611833,-2.185399733,-0.3912863305,-0.12118156,0.126563309,0.294709188,-0.247175517,0.5051965339,2.546872064,0.747670012,0.530357626,0.8892852915,0,2016-10-24,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,0.3075553791,-2.158370718,-0.461334828,-0.1220182286,0.1285191534,0.3025696986,-0.2510096119,0.4940301274,3.109706731,0.8137987836,0.5444955468,0.8932976033,0,2016-11-05,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,0.3376421758,-1.84438255,-0.5151874433,-0.1129715683,0.1450736258,0.3313045963,-0.2580295215,0.5098461318,3.680064981,0.9636713014,0.5962112676,0.9092206133,0,2016-11-11,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,0.2490054826,-1.539443077,-0.4255255719,-0.1060996494,0.1093369947,0.2442174054,-0.2136229991,0.5225728687,2.682049001,0.6867011554,0.4394941096,0.8586070214,0,2016-11-14,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,0.3592522765,-1.953543492,-0.510376203,-0.1316285716,0.1507490153,0.3535934077,-0.2804787707,0.5085807924,3.627399336,1.085974325,0.6363189407,0.9205708482,0,2016-11-20,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,0.1616999987,-0.798159527,-0.3000728918,0.0377888031,0.1574480153,0.156271551,-0.1213225631,0.62056763,1.958382898,0.3855728091,0.2812305191,0.8088146938,0,2016-11-23,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,0.28672925,-1.475636635,-0.5208730649,-0.0266439743,0.1580405062,0.2758678366,-0.1850709481,0.497381788,3.814523929,0.8163941344,0.4964001533,0.8762459453,0,2016-12-05,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,0.3142641231,-1.418458354,-0.3984446803,-0.0823485791,0.1462956103,0.3053578042,-0.2299677594,0.5028013288,2.956516584,0.8712211129,0.5494820648,0.8935673179,0,2016-12-14,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,0.4196192012,-2.715152633,-0.2373873493,-0.17219072,0.171524294,0.4143851649,-0.3366430546,0.5399003141,1.924454576,1.245227375,0.7457172797,0.9518671177,0,2016-12-20,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,0.3871827565,-2.252260877,-0.2718986687,-0.2524681479,0.08498580582,0.3837589362,-0.3354277645,0.503783037,2.022502905,0.9979579638,0.6905897281,0.9370730196,0,2016-12-23,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
