system:index,ARVI,EVI,MNDVI,MNDWI,NDMI,NDVI,NDWI,NMDI,RDI,RECI,SAVI,TVI,date,.geo
0,0.3993957891,-2.311766334,-0.3738148904,-0.1700240583,0.1570212059,0.3943763083,-0.3199370725,0.5377175509,2.541276329,1.226108037,0.7097105004,0.9413837676,2017-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.523697866,-3.070126438,-0.1906571988,-0.2428608231,0.2000399514,0.5202316691,-0.4240663203,0.5520398099,1.780777442,1.744831525,0.9361670824,1.006648447,2017-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.3155098396,-1.896309921,-0.3774285728,-0.2088098169,0.06986585826,0.3119161073,-0.2776905677,0.5045300892,2.541274193,0.8684940863,0.5613156791,0.8973216858,2017-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.2658875315,-1.534999329,-0.3978988866,-0.1178813517,0.1084571947,0.2611028464,-0.2240699148,0.5639268671,2.530963475,0.7234445741,0.469872936,0.8686550768,2017-01-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.3305371161,-2.133458036,-0.2987475477,-0.1151216216,0.1428809148,0.3236235298,-0.2561923007,0.5292511908,2.103204113,0.8548386527,0.5823825291,0.9035816037,2017-01-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.3543016619,-1.820254835,-0.2972051679,-0.20759955,0.08996419978,0.3493636281,-0.2953800218,0.5222472744,2.123504981,0.9449266739,0.6286848625,0.9170642769,2017-02-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.3756955732,-2.383586974,-0.2916299394,-0.2735653038,0.06770495342,0.3729931927,-0.3373595334,0.5046387999,2.057156225,0.8971661725,0.6712403747,0.9310118173,2017-02-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.3273828281,0.2643024474,-0.3735669138,-0.3682457955,-0.02009939433,0.3290115187,-0.351155951,0.4720328371,2.488409548,0.7377817696,0.5920726933,0.9068643343,2017-02-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.2007638102,-0.4956471617,-0.660949424,-0.2204635637,-0.02770446764,0.198202272,-0.1955679389,0.4219393126,5.563250943,0.5923676497,0.3566709819,0.8315671511,2017-03-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.2554229327,-0.8891851289,-0.5195755052,-0.2519985002,-0.01151296761,0.2535581144,-0.2447296228,0.4722323671,3.520386726,0.6235716591,0.4563130629,0.8651931594,2017-03-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.2379262143,1.251635863,-0.44924137,-0.390291757,-0.1046320312,0.241586319,-0.2972056312,0.4747730556,2.74604349,0.4812741588,0.4347552417,0.859033419,2017-03-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.138743331,0.05452466861,-0.5600902823,-0.2208993045,-0.06174108071,0.1378261258,-0.1655802566,0.4382243345,3.914441415,0.3768235256,0.2480343419,0.796785383,2017-04-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.2532411919,0.02609292383,-0.6129531693,-0.3007896775,-0.0373513189,0.2541356001,-0.2698338936,0.4518166964,4.699533775,0.6431503014,0.4573486178,0.8657439925,2017-04-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0.1537070031,0.8248473347,-0.6914370092,-0.3529319786,-0.1339256146,0.1585495946,-0.2302382557,0.4033627863,5.670652666,0.4234928487,0.2853272326,0.8103361022,2017-04-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0.2430216593,-0.4558463414,-0.566721379,-0.2596706935,-0.01086488329,0.2430446791,-0.2523476683,0.46353179,4.099785256,0.6311908705,0.4373944059,0.8587248953,2017-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0.1347777625,0.4244836127,-0.6657535705,-0.2553847251,-0.07918521151,0.1366515944,-0.1835056978,0.4234768397,5.543695063,0.4170203048,0.2459185575,0.7952769894,2017-05-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,0.1854432602,0.7138020148,-0.6652347139,-0.3629153879,-0.115799843,0.1905533395,-0.2581093931,0.4314946852,5.221407347,0.4937196391,0.3429227748,0.8289073952,2017-05-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0.2522228427,2.13696404,-0.7191260682,-0.3768292997,-0.0729052497,0.2576602606,-0.3101646834,0.4127877488,6.896657337,0.7824662534,0.4636895057,0.8650989244,2017-06-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,0.2550172157,0.9681703604,-0.5719606871,-0.2703567016,0.005244597183,0.2565880822,-0.2744024253,0.4687197474,4.207042781,0.745307753,0.4617709432,0.865534969,2017-06-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,0.2498225087,1.74703526,-0.6501015576,-0.3241339426,-0.041628527,0.2533581282,-0.2859119993,0.4601444046,5.302350722,0.7189449993,0.4559450838,0.8632943518,2017-06-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,0.2353728486,0.756874921,-0.6112979746,-0.2604449099,-0.005162110837,0.2371597619,-0.257585234,0.5067176964,4.86347999,0.6626076365,0.4268083078,0.8557085672,2017-06-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,0.2230751624,1.142577044,-0.6958394165,-0.3280299847,-0.06040860824,0.2275156679,-0.2738525957,0.443692109,6.275456202,0.6530076636,0.4094387997,0.8491844341,2017-07-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,0.2296535237,1.939263409,-0.5874312719,-0.2852351809,-0.02059905797,0.2325618831,-0.2661879154,0.5140978412,4.175672052,0.6128033273,0.4185234356,0.8531513148,2017-07-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,0.3047723699,1.31854945,-0.6641684606,-0.303355164,0.01001253865,0.3062681608,-0.3132320555,0.4731847082,5.859103172,0.9123194471,0.5511713608,0.8935691311,2017-07-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,0.258472418,0.9899585515,-0.5185839723,-0.2463672837,0.02220692479,0.259096932,-0.2669877114,0.5231206292,3.629948179,0.7099943627,0.4662926951,0.8681692323,2017-07-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,0.1094115938,-1.036314823,-0.2617995097,-0.1455506496,-0.00835727002,0.1101793542,-0.1381987377,0.6467495611,1.89755609,0.299260489,0.1982894651,0.7805114073,2017-07-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,0.1868667925,0.8996344637,-0.7004587316,-0.3328736649,-0.07787316351,0.1929048221,-0.2638098742,0.4846226783,6.220688407,0.5507948854,0.3471512744,0.8298410367,2017-07-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,0.1971431636,0.582995573,-0.6992668296,-0.2901006291,-0.05556872504,0.2004042216,-0.2403058715,0.445856578,6.364317426,0.589522204,0.3606460237,0.8339385563,2017-08-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,0.1555036317,0.8162886429,-0.6000161771,-0.2410216199,-0.0542714023,0.1581306331,-0.1949152998,0.5090306235,4.332173121,0.4881026889,0.2845790194,0.8103576442,2017-08-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,0.3057698489,1.287741258,-0.5897667276,-0.1921027896,0.09442473984,0.3052188899,-0.2831799093,0.467459854,4.48609076,0.8779064008,0.5492789321,0.893040252,2017-08-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,0.237589569,0.9309894082,-0.6939451814,-0.3289690569,-0.05680105871,0.2417208775,-0.2793688341,0.4466592949,6.249643421,0.6863186719,0.4349949223,0.8573894381,2017-08-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,0.3360890279,2.981082207,-0.6454112431,-0.3433648635,-0.001032166673,0.3378329006,-0.342198489,0.455174034,4.936712324,0.9616622458,0.6079706149,0.9125909848,2017-08-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,0.3801899769,-0.6372048801,-0.6523688606,-0.292348809,0.05930583079,0.3795590652,-0.3463698346,0.4480801441,5.304776485,1.162832905,0.6830566249,0.9345650795,2017-09-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
