ARVI,EVI,MNDVI,MNDWI,NDMI,NDVI,NDWI,NMDI,RDI,RECI,SAVI,TVI,SeasonYear,DayOfSeason,Year,Month,District,Drought
0.1560319566,3.13890048,-0.3555118617,-0.3584670404,-0.09946695207,0.1640544413,-0.2686032749,0.6391882227,2.120506477,0.27381196,0.2952491475,0.8146428101,2016,51,2015,11,Jodhpur,1
0.1567868016,3.204723432,-0.3563358259,-0.3571484101,-0.09830833419,0.1646965604,-0.268303528,0.6407761262,2.125442229,0.2764274607,0.2964045563,0.8150206957,2016,51,2015,11,Jodhpur,1
0.1566347021,3.211311191,-0.3658630198,-0.330977911,-0.07498487999,0.1645210433,-0.2621593017,0.6786413352,2.178328625,0.2920813873,0.2960886154,0.8145721293,2016,51,2015,11,Jodhpur,1
0.1252932273,3.022955199,-0.3998177292,-0.305114218,-0.07896043093,0.1344198272,-0.2317269605,0.7393235552,2.344578601,0.2435652279,0.2419181514,0.7962346377,2016,51,2015,11,Jodhpur,1
0.1719931168,3.380572397,-0.3490839386,-0.3661272056,-0.1052104421,0.1785846474,-0.2713235103,0.5969643648,2.100575575,0.3020149928,0.3213964029,0.8233628699,2016,51,2015,11,Jodhpur,1
0.1707518674,3.41421472,-0.3519594794,-0.3598051394,-0.09357363636,0.1776204731,-0.27549528,0.6131911391,2.110153562,0.3038863135,0.3196606992,0.8227430862,2016,51,2015,11,Jodhpur,1
0.1205313246,2.969878514,-0.4073564319,-0.3126718075,-0.0851431838,0.1301478443,-0.2337321098,0.7496536668,2.384878887,0.2339877645,0.234229112,0.793653896,2016,51,2015,11,Jodhpur,1
0.1560319566,3.13890048,-0.3555118617,-0.3584670404,-0.09946695207,0.1640544413,-0.2686032749,0.6391882227,2.120506477,0.27381196,0.2952491475,0.8146428101,2016,51,2015,11,Jodhpur,1
0.1567868016,3.204723432,-0.3563358259,-0.3571484101,-0.09830833419,0.1646965604,-0.268303528,0.6407761262,2.125442229,0.2764274607,0.2964045563,0.8150206957,2016,51,2015,11,Jodhpur,1
0.1566347021,3.211311191,-0.3658630198,-0.330977911,-0.07498487999,0.1645210433,-0.2621593017,0.6786413352,2.178328625,0.2920813873,0.2960886154,0.8145721293,2016,51,2015,11,Jodhpur,1
0.1252932273,3.022955199,-0.3998177292,-0.305114218,-0.07896043093,0.1344198272,-0.2317269605,0.7393235552,2.344578601,0.2435652279,0.2419181514,0.7962346377,2016,51,2015,11,Jodhpur,1
0.1719931168,3.380572397,-0.3490839386,-0.3661272056,-0.1052104421,0.1785846474,-0.2713235103,0.5969643648,2.100575575,0.3020149928,0.3213964029,0.8233628699,2016,51,2015,11,Jodhpur,1
0.1707518674,3.41421472,-0.3519594794,-0.3598051394,-0.09357363636,0.1776204731,-0.27549528,0.6131911391,2.110153562,0.3038863135,0.3196606992,0.8227430862,2016,51,2015,11,Jodhpur,1
0.1205313246,2.969878514,-0.4073564319,-0.3126718075,-0.0851431838,0.1301478443,-0.2337321098,0.7496536668,2.384878887,0.2339877645,0.234229112,0.793653896,2016,51,2015,11,Jodhpur,1
0.1560319566,3.13890048,-0.3555118617,-0.3584670404,-0.09946695207,0.1640544413,-0.2686032749,0.6391882227,2.120506477,0.27381196,0.2952491475,0.8146428101,2016,51,2015,11,Jodhpur,1
0.1567868016,3.204723432,-0.3563358259,-0.3571484101,-0.09830833419,0.1646965604,-0.268303528,0.6407761262,2.125442229,0.2764274607,0.2964045563,0.8150206957,2016,51,2015,11,Jodhpur,1
0.1566347021,3.211311191,-0.3658630198,-0.330977911,-0.07498487999,0.1645210433,-0.2621593017,0.6786413352,2.178328625,0.2920813873,0.2960886154,0.8145721293,2016,51,2015,11,Jodhpur,1
0.1252932273,3.022955199,-0.3998177292,-0.305114218,-0.07896043093,0.1344198272,-0.2317269605,0.7393235552,2.344578601,0.2435652279,0.2419181514,0.7962346377,2016,51,2015,11,Jodhpur,1
