system:index,ARVI,EVI,MNDVI,MNDWI,NDMI,NDVI,NDWI,NMDI,RDI,RECI,SAVI,TVI,date,.geo
20180102T052221_20180102T052834_T43QFD,0.2824776448,0.9080928501,-0.2514481623,-0.274309103,-0.02072067694,0.2767526063,-0.2557868644,0.4082227895,1.735828227,0.5203712354,0.4980234136,0.8803465518,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180102T052221_20180102T052834_T43QFE,0.2871892057,1.383782053,-0.2527019288,-0.2449590516,-0.01298050741,0.2791606341,-0.2332147649,0.4125180395,1.709292572,0.523207452,0.5023488591,0.8822098728,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180102T052221_20180102T052834_T43QGC,0.2354972483,0.4106516283,-0.2702349798,-0.199131279,0.04017619053,0.2322369874,-0.2376398548,0.4887125591,1.787508122,0.4603611166,0.4179315492,0.8545731302,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180102T052221_20180102T052834_T43QGD,0.3222627825,0.3783777252,-0.1852356795,-0.2245965299,0.06282740815,0.3168386729,-0.2837760942,0.4635816987,1.518929773,0.6604143509,0.5701702075,0.9022139738,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180102T052221_20180102T052834_T43QGE,0.2841364468,1.173973093,-0.2322269766,-0.2682862438,-0.03473125658,0.2766740956,-0.236393547,0.379315987,1.648030092,0.4964450848,0.4978702028,0.8807854995,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180102T052221_20180102T052834_T43QHC,0.2841731232,0.7245318151,-0.2306325075,-0.1862981486,0.07307041662,0.2790477717,-0.2562144294,0.493748018,1.642265119,0.581625986,0.5021698673,0.8817295978,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180102T052221_20180102T052834_T43QHD,0.2786238724,0.9055000486,-0.2105866752,-0.1777002173,0.07112664689,0.2726811308,-0.2451645352,0.4884856716,1.60491517,0.5722342473,0.490707824,0.8771545336,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180102T052221_20180102T052834_T43QHE,0.2299751617,5.344631125,-0.2823886751,-0.2745525678,-0.03524385774,0.2272563176,-0.2423881258,0.4172523373,1.817981843,0.4088903347,0.4089652937,0.8523435738,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180102T052221_20180102T052834_T44QKH,0.2898075166,1.221640889,-0.2199414084,-0.172226972,0.07896465502,0.2834591296,-0.2483275577,0.4885583896,1.599810821,0.60126085,0.510104222,0.8845081219,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180102T052221_20180102T052834_T44QKJ,0.3089060133,1.030957019,-0.1735380355,-0.1614842614,0.09825904534,0.3018954458,-0.2557412095,0.4965249718,1.473503465,0.6450421393,0.5432765078,0.8942225237,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
