system:index,ARVI,EVI,MNDVI,MNDWI,NDMI,NDVI,NDWI,NMDI,RDI,RECI,SAVI,TVI,date,.geo
20190101T055239_20190101T060027_T42RYQ,0.1034298501,3.031144799,-0.4647339398,-0.3097275243,-0.09215333342,0.1143052734,-0.223487819,0.7296224597,2.808551052,0.2446647042,0.2057141786,0.7822802296,2019-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190101T055239_20190101T060027_T42RYR,0.06783461968,2.785197336,-0.5181720643,-0.2928758964,-0.1127236456,0.07942480949,-0.1861090857,0.7191416893,3.185790646,0.1855703873,0.1429416578,0.7607687001,2019-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190101T055239_20190101T060027_T42RZP,0.1148983808,4.102798411,-0.4482549619,-0.3518307371,-0.1362849293,0.1233918336,-0.2262333956,0.7053530998,2.669040942,0.2193821926,0.2220626577,0.7888401006,2019-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190101T055239_20190101T060027_T43RBJ,0.1122348561,3.134535385,-0.4518704532,-0.3533342339,-0.1388341669,0.1209638707,-0.2253581595,0.7028532955,2.685080308,0.2129243809,0.2176936046,0.7874354238,2019-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190101T055239_20190101T060027_T43RBK,0.1226658239,3.095439547,-0.4455352559,-0.3096052181,-0.08438322648,0.1319244165,-0.2313531844,0.710312279,2.668983456,0.2628020106,0.2374218049,0.7938245006,2019-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190101T055239_20190101T060027_T43RBL,0.08354924979,2.833048475,-0.5021712253,-0.3044537787,-0.1049787434,0.09469877032,-0.2060838832,0.7229722538,3.060018239,0.4111436296,0.1704292426,0.7705854381,2019-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190101T055239_20190101T060027_T43RCK,0.116381499,2.967065202,-0.4885313911,-0.3382698323,-0.1113936368,0.1264964145,-0.2358563316,0.6791180206,2.946578345,0.2443139348,0.2276535001,0.7910018771,2019-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190101T055239_20190101T060027_T43RCL,0.08416183987,2.760860824,-0.4864630109,-0.2750843261,-0.08959927508,0.09336787301,-0.1917974125,0.7060523423,2.947247777,0.2003812231,0.1680337113,0.769544827,2019-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190103T054221_20190103T054534_T42RZP,0.125721508,3.508661429,-0.434920377,-0.3319249439,-0.1137424893,0.1330811907,-0.2266233534,0.6744124922,2.580198134,0.2419573888,0.2395050218,0.7950442526,2019-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190103T054221_20190103T054534_T43RBJ,0.1266419278,3.508456806,-0.4329064857,-0.3307071198,-0.1120380321,0.1339252809,-0.2269845016,0.6746016171,2.56819726,0.243991625,0.2410239871,0.7955661608,2019-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190103T054221_20190103T054534_T43RBK,0.1446518773,3.301483281,-0.3833607012,-0.3130416917,-0.07214833606,0.1525714427,-0.2457952039,0.6867037831,2.295657819,0.2876723116,0.2745822682,0.8064993822,2019-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190103T054221_20190103T054534_T43RBL,0.1002316977,2.935174549,-0.4234407244,-0.2974159556,-0.0905042511,0.1101749134,-0.2124755881,0.7193426631,2.486814798,0.20712861,0.1982839407,0.7807269172,2019-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190103T054221_20190103T054534_T43RCJ,0.1560302295,3.202880973,-0.3892454797,-0.3467782283,-0.1067931991,0.1622612536,-0.2490855867,0.5907874825,2.318952107,0.2840485741,0.2920182866,0.8131084405,2019-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
