system:index,ARVI,EVI,MNDVI,MNDWI,NDMI,NDVI,NDWI,NMDI,RDI,RECI,SAVI,TVI,date,.geo
20180101T050209_20180101T050205_T44PKS,0.4746129615,-1.446681921,-0.3032025897,-0.2500216144,0.1596116271,0.47081545,-0.3964075793,0.5298105051,2.123481781,1.384914004,0.8472675265,0.9830554747,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101T050209_20180101T050205_T44PKT,0.5249642388,-0.7703859035,-0.1899105689,-0.182304595,0.2418545529,0.5195365087,-0.4069421589,0.5521888033,1.612560179,1.646802136,0.9349345234,1.007665151,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101T050209_20180101T050205_T44PLS,0.4900928862,-1.347198846,-0.2717377883,-0.2094491186,0.2025726441,0.4853959125,-0.3951240811,0.5469680824,1.983876161,1.4996612,0.8735050661,0.9896731842,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101T050209_20180101T050205_T44PLT,0.5553941749,-0.6035547744,-0.206546897,-0.2132494164,0.240333228,0.5500970121,-0.4322952027,0.5357421583,1.65616291,1.780001628,0.9899247986,1.023293219,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180104T051209_20180104T052528_T44PKS,0.3816854508,0.4531041312,-0.3095289518,-0.1457022149,0.1571575522,0.3757962684,-0.300120478,0.5137594597,2.157752471,1.103198234,0.6762742403,0.9334998431,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180104T051209_20180104T052528_T44PKT,0.4327144346,0.8375490313,-0.2122931203,-0.07729383385,0.2465654031,0.4256106732,-0.3195197922,0.552716755,1.74103079,1.351374829,0.7659150221,0.9597082155,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180114T051139_20180114T051142_T44PKS,0.4855551547,-0.768023951,-0.2933962331,-0.2683384815,0.1463822433,0.4817520026,-0.4009933339,0.5056358265,2.1615129,1.571765586,0.8669215447,0.9870161054,2018-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180114T051139_20180114T051142_T44PKT,0.552884405,-1.552130539,-0.1827500885,-0.2101954106,0.2448305839,0.5481575453,-0.4314138171,0.5508332673,1.71113901,2.019224047,0.9864196898,1.019892197,2018-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180116T050121_20180116T051545_T44PLS,0.2546473553,1.425706873,-0.3772061738,-0.00468800735,0.1771204735,0.2468551814,-0.1832430503,0.5556359504,2.511425229,0.7309873759,0.4442503685,0.8614299837,2018-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180124T051109_20180124T051817_T44PKS,0.3088037424,1.113790389,-0.4617404343,-0.1015567175,0.1339859143,0.3023533018,-0.2364098663,0.4927938589,3.178464387,0.9324180849,0.5441189104,0.8937287222,2018-01-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
