ARVI,EVI,MNDVI,MNDWI,NDMI,NDVI,NDWI,NMDI,RDI,RECI,SAVI,TVI,SeasonYear,DayOfSeason,Year,Month,District,Drought
0.1560547526,3.138571847,-0.3555840011,-0.3586328253,-0.09954305187,0.1640809894,-0.2687052599,0.6392217637,2.120753639,0.2738181494,0.2952969251,0.8146595731,2016,51,2015,11,Jodhpur,1
0.1568527011,3.205039867,-0.3563679504,-0.3572996046,-0.09835119277,0.1647635462,-0.2684218153,0.640782279,2.125548898,0.276514132,0.2965251071,0.8150622412,2016,51,2015,11,Jodhpur,1
0.1630416829,3.186985835,-0.36294763,-0.333043996,-0.07162933864,0.1707228457,-0.2674309859,0.6781862445,2.165109941,0.3046984907,0.3072497944,0.8183439846,2016,51,2015,11,Jodhpur,1
0.1346535261,3.09196692,-0.3929245026,-0.3105934698,-0.07673691829,0.1433543003,-0.2395400879,0.72879583,2.31150583,0.2590912898,0.2579969913,0.8017125607,2016,51,2015,11,Jodhpur,1
0.1721004523,3.383389894,-0.3498079808,-0.3666638536,-0.1056538781,0.1786842713,-0.2714770841,0.5976597855,2.10346776,0.3023722715,0.3215756293,0.8234260177,2016,51,2015,11,Jodhpur,1
0.1718972559,3.416552971,-0.3526169706,-0.3612204261,-0.0939002651,0.1787639393,-0.2766765969,0.6130867733,2.113170265,0.3061394578,0.3217186169,0.8234406214,2016,51,2015,11,Jodhpur,1
0.1276128279,3.01769521,-0.4019325677,-0.3195980578,-0.08603514284,0.1368047675,-0.2401012549,0.7374096449,2.357589045,0.2440536772,0.2462089799,0.7977712447,2016,51,2015,11,Jodhpur,1
0.1560547526,3.138571847,-0.3555840011,-0.3586328253,-0.09954305187,0.1640809894,-0.2687052599,0.6392217637,2.120753639,0.2738181494,0.2952969251,0.8146595731,2016,51,2015,11,Jodhpur,1
0.1568527011,3.205039867,-0.3563679504,-0.3572996046,-0.09835119277,0.1647635462,-0.2684218153,0.640782279,2.125548898,0.276514132,0.2965251071,0.8150622412,2016,51,2015,11,Jodhpur,1
0.1630416829,3.186985835,-0.36294763,-0.333043996,-0.07162933864,0.1707228457,-0.2674309859,0.6781862445,2.165109941,0.3046984907,0.3072497944,0.8183439846,2016,51,2015,11,Jodhpur,1
0.1346535261,3.09196692,-0.3929245026,-0.3105934698,-0.07673691829,0.1433543003,-0.2395400879,0.72879583,2.31150583,0.2590912898,0.2579969913,0.8017125607,2016,51,2015,11,Jodhpur,1
0.1721004523,3.383389894,-0.3498079808,-0.3666638536,-0.1056538781,0.1786842713,-0.2714770841,0.5976597855,2.10346776,0.3023722715,0.3215756293,0.8234260177,2016,51,2015,11,Jodhpur,1
0.1718972559,3.416552971,-0.3526169706,-0.3612204261,-0.0939002651,0.1787639393,-0.2766765969,0.6130867733,2.113170265,0.3061394578,0.3217186169,0.8234406214,2016,51,2015,11,Jodhpur,1
0.1276128279,3.01769521,-0.4019325677,-0.3195980578,-0.08603514284,0.1368047675,-0.2401012549,0.7374096449,2.357589045,0.2440536772,0.2462089799,0.7977712447,2016,51,2015,11,Jodhpur,1
0.1560547526,3.138571847,-0.3555840011,-0.3586328253,-0.09954305187,0.1640809894,-0.2687052599,0.6392217637,2.120753639,0.2738181494,0.2952969251,0.8146595731,2016,51,2015,11,Jodhpur,1
0.1568527011,3.205039867,-0.3563679504,-0.3572996046,-0.09835119277,0.1647635462,-0.2684218153,0.640782279,2.125548898,0.276514132,0.2965251071,0.8150622412,2016,51,2015,11,Jodhpur,1
0.1630416829,3.186985835,-0.36294763,-0.333043996,-0.07162933864,0.1707228457,-0.2674309859,0.6781862445,2.165109941,0.3046984907,0.3072497944,0.8183439846,2016,51,2015,11,Jodhpur,1
0.1346535261,3.09196692,-0.3929245026,-0.3105934698,-0.07673691829,0.1433543003,-0.2395400879,0.72879583,2.31150583,0.2590912898,0.2579969913,0.8017125607,2016,51,2015,11,Jodhpur,1
0.1721004523,3.383389894,-0.3498079808,-0.3666638536,-0.1056538781,0.1786842713,-0.2714770841,0.5976597855,2.10346776,0.3023722715,0.3215756293,0.8234260177,2016,51,2015,11,Jodhpur,1
0.1718972559,3.416552971,-0.3526169706,-0.3612204261,-0.0939002651,0.1787639393,-0.2766765969,0.6130867733,2.113170265,0.3061394578,0.3217186169,0.8234406214,2016,51,2015,11,Jodhpur,1
0.1276128279,3.01769521,-0.4019325677,-0.3195980578,-0.08603514284,0.1368047675,-0.2401012549,0.7374096449,2.357589045,0.2440536772,0.2462089799,0.7977712447,2016,51,2015,11,Jodhpur,1
0.1448433957,3.332967854,-0.4706597221,-0.3505847522,-0.1111922487,0.1519193386,-0.2491016926,0.6173249402,2.805448914,0.2839415869,0.273407648,0.8071489724,2016,61,2015,11,Jodhpur,1
0.1459265664,3.46032823,-0.4684386752,-0.3493490052,-0.1096856135,0.1529007322,-0.2492292271,0.6194822263,2.790785114,0.2862557184,0.275173666,0.8077380642,2016,61,2015,11,Jodhpur,1
0.1566948228,3.490640826,-0.4435578355,-0.3226531907,-0.07978163613,0.1629890343,-0.2488550971,0.6622423792,2.637709862,0.314597656,0.2933290796,0.8135670862,2016,61,2015,11,Jodhpur,1
0.1170431114,3.234401845,-0.5016132683,-0.3002653426,-0.09671031368,0.124147934,-0.2094249217,0.7108561554,3.036204572,0.2532015636,0.2234290741,0.7898091945,2016,61,2015,11,Jodhpur,1
0.1568732754,3.090998183,-0.4891547445,-0.3551760051,-0.1193254474,0.1623928271,-0.2462736264,0.5673403312,2.95942666,0.3131343856,0.2922538923,0.813517711,2016,61,2015,11,Jodhpur,1
0.1641959423,3.474152805,-0.4451491921,-0.3519334181,-0.1016047007,0.1700463111,-0.2595366303,0.5936829256,2.650710833,0.3183114139,0.306027652,0.8180929484,2016,61,2015,11,Jodhpur,1
0.119219383,3.089741482,-0.4852593751,-0.3136165778,-0.09910625715,0.1271865762,-0.2213511012,0.7214465677,2.902504527,0.2494388971,0.2288973184,0.7917735635,2016,61,2015,11,Jodhpur,1
0.1448433957,3.332967854,-0.4706597221,-0.3505847522,-0.1111922487,0.1519193386,-0.2491016926,0.6173249402,2.805448914,0.2839415869,0.273407648,0.8071489724,2016,61,2015,11,Jodhpur,1
0.1459265664,3.46032823,-0.4684386752,-0.3493490052,-0.1096856135,0.1529007322,-0.2492292271,0.6194822263,2.790785114,0.2862557184,0.275173666,0.8077380642,2016,61,2015,11,Jodhpur,1
0.1566948228,3.490640826,-0.4435578355,-0.3226531907,-0.07978163613,0.1629890343,-0.2488550971,0.6622423792,2.637709862,0.314597656,0.2933290796,0.8135670862,2016,61,2015,11,Jodhpur,1
0.1170431114,3.234401845,-0.5016132683,-0.3002653426,-0.09671031368,0.124147934,-0.2094249217,0.7108561554,3.036204572,0.2532015636,0.2234290741,0.7898091945,2016,61,2015,11,Jodhpur,1
0.1568732754,3.090998183,-0.4891547445,-0.3551760051,-0.1193254474,0.1623928271,-0.2462736264,0.5673403312,2.95942666,0.3131343856,0.2922538923,0.813517711,2016,61,2015,11,Jodhpur,1
0.1641959423,3.474152805,-0.4451491921,-0.3519334181,-0.1016047007,0.1700463111,-0.2595366303,0.5936829256,2.650710833,0.3183114139,0.306027652,0.8180929484,2016,61,2015,11,Jodhpur,1
0.119219383,3.089741482,-0.4852593751,-0.3136165778,-0.09910625715,0.1271865762,-0.2213511012,0.7214465677,2.902504527,0.2494388971,0.2288973184,0.7917735635,2016,61,2015,11,Jodhpur,1
0.1312999926,3.042130386,-0.3937542953,-0.3009117896,-0.07175104429,0.1399044839,-0.2342108174,0.7122809713,2.308129862,0.2558746512,0.2517874894,0.7998075645,2016,64,2015,12,Jodhpur,1
0.1388110251,3.248926497,-0.3788958816,-0.2895740477,-0.05317479556,0.1472811105,-0.2398465157,0.6778677506,2.245973128,0.2764142379,0.2650628692,0.8039580878,2016,64,2015,12,Jodhpur,1
0.1344295503,3.107690607,-0.3924520527,-0.3231992911,-0.09060303343,0.1425898204,-0.2395807679,0.6667407533,2.307429884,0.2550239202,0.2566177016,0.8013911541,2016,64,2015,12,Jodhpur,1
0.1436766376,3.140515374,-0.3811797959,-0.302259936,-0.06106668982,0.1516360167,-0.2454113569,0.6964955001,2.349812433,0.2853340847,0.2728984264,0.8066189854,2016,64,2015,12,Jodhpur,1
0.1168980643,2.995504034,-0.4132595424,-0.2991490185,-0.08210410869,0.1254927406,-0.2224677946,0.7222276187,2.424296707,0.2335372674,0.2258483919,0.7906852098,2016,64,2015,12,Jodhpur,1
0.1312999926,3.042130386,-0.3937542953,-0.3009117896,-0.07175104429,0.1399044839,-0.2342108174,0.7122809713,2.308129862,0.2558746512,0.2517874894,0.7998075645,2016,64,2015,12,Jodhpur,1
0.1341409914,3.223020343,-0.4077046704,-0.3409885564,-0.1070920718,0.141632395,-0.2427356036,0.6384433192,2.394263975,0.245639506,0.2548930786,0.8007834481,2016,64,2015,12,Jodhpur,1
0.1334035619,3.238436993,-0.4099563749,-0.340755027,-0.1073365957,0.1410964697,-0.2422858893,0.6421365558,2.404798898,0.2445183228,0.2539287763,0.8004993845,2016,64,2015,12,Jodhpur,1
0.1344295503,3.107690607,-0.3924520527,-0.3231992911,-0.09060303343,0.1425898204,-0.2395807679,0.6667407533,2.307429884,0.2550239202,0.2566177016,0.8013911541,2016,64,2015,12,Jodhpur,1
0.1312999926,3.042130386,-0.3937542953,-0.3009117896,-0.07175104429,0.1399044839,-0.2342108174,0.7122809713,2.308129862,0.2558746512,0.2517874894,0.7998075645,2016,64,2015,12,Jodhpur,1
0.1341409914,3.223020343,-0.4077046704,-0.3409885564,-0.1070920718,0.141632395,-0.2427356036,0.6384433192,2.394263975,0.245639506,0.2548930786,0.8007834481,2016,64,2015,12,Jodhpur,1
0.1334035619,3.238436993,-0.4099563749,-0.340755027,-0.1073365957,0.1410964697,-0.2422858893,0.6421365558,2.404798898,0.2445183228,0.2539287763,0.8004993845,2016,64,2015,12,Jodhpur,1
0.1344295503,3.107690607,-0.3924520527,-0.3231992911,-0.09060303343,0.1425898204,-0.2395807679,0.6667407533,2.307429884,0.2550239202,0.2566177016,0.8013911541,2016,64,2015,12,Jodhpur,1
0.1601734498,3.359355144,-0.3557768755,-0.3032163758,-0.04634537913,0.1677651361,-0.2603090278,0.6936983804,2.130413034,0.3148315662,0.3019251893,0.8164727169,2016,64,2015,12,Jodhpur,1
0.1388110251,3.248926497,-0.3788958816,-0.2895740477,-0.05317479556,0.1472811105,-0.2398465157,0.6778677506,2.245973128,0.2764142379,0.2650628692,0.8039580878,2016,64,2015,12,Jodhpur,1
0.1536701225,3.249835991,-0.3681168959,-0.3133513301,-0.06424795951,0.1613030818,-0.2539866514,0.6856476431,2.190045349,0.2976444048,0.2902945646,0.8125967983,2016,64,2015,12,Jodhpur,1
0.1436766376,3.140515374,-0.3811797959,-0.302259936,-0.06106668982,0.1516360167,-0.2454113569,0.6964955001,2.349812433,0.2853340847,0.2728984264,0.8066189854,2016,64,2015,12,Jodhpur,1
0.1168980643,2.995504034,-0.4132595424,-0.2991490185,-0.08210410869,0.1254927406,-0.2224677946,0.7222276187,2.424296707,0.2335372674,0.2258483919,0.7906852098,2016,64,2015,12,Jodhpur,1
0.1135036923,2.756997338,-0.5933032142,-0.3425167274,-0.1292873793,0.1220733062,-0.2230706155,0.6006140449,3.996141835,0.2725705491,0.2196949799,0.7880674072,2016,121,2016,1,Jodhpur,1
0.1158224464,3.033522391,-0.5915719387,-0.3408607415,-0.1263601235,0.1242593323,-0.2240990297,0.6010018332,3.98456278,0.2790856369,0.2236289517,0.789357611,2016,121,2016,1,Jodhpur,1
0.1759926321,4.30940592,-0.5511578314,-0.3042692726,-0.05054678138,0.1823530666,-0.2568878877,0.6216347671,3.630392438,0.4334629689,0.3281785635,0.8237154971,2016,121,2016,1,Jodhpur,1
0.1402683294,2.697700808,-0.5699405393,-0.3521970085,-0.1251786507,0.1475458092,-0.2369371271,0.5524672781,3.780064124,0.3249682735,0.2655350587,0.8033927705,2016,121,2016,1,Jodhpur,1
0.1603869527,3.670136791,-0.5583604737,-0.3395354561,-0.09374212535,0.1670617734,-0.2534915957,0.5653923554,3.663382239,0.3778447624,0.3006571901,0.8150652694,2016,121,2016,1,Jodhpur,1
0.2478082478,4.929598003,-0.226072015,-0.2805312905,0.04747348141,0.2549503877,-0.3240473973,0.7030288456,1.744376002,0.578561301,0.4588333656,0.8635954138,2016,124,2016,2,Jodhpur,1
0.1736558503,3.29438598,-0.286393011,-0.28996998,-0.02002718189,0.1825104339,-0.2711201729,0.6875390257,1.853940973,0.3443828125,0.3284653109,0.8243275671,2016,124,2016,2,Jodhpur,1
0.1138203615,5.925583677,-0.4646289379,-0.3374340956,-0.117476274,0.1230198051,-0.2291909988,0.6465276524,2.792397315,0.2347267471,0.2213972724,0.7885491214,2016,124,2016,2,Jodhpur,1
0.111671705,3.04260459,-0.4680055177,-0.3381007049,-0.1195823134,0.1210067198,-0.2278487084,0.6482354405,2.807001236,0.2295661219,0.2177745532,0.7874057479,2016,124,2016,2,Jodhpur,1
0.2060883846,3.722471963,-0.3144916714,-0.3061211345,-0.01234622435,0.2136479954,-0.2939564448,0.6821299827,2.035635506,0.4443288334,0.3844996791,0.841673979,2016,124,2016,2,Jodhpur,1
0.1843256095,3.400423756,-0.2926256984,-0.3057395433,-0.02193730119,0.1931213488,-0.2849210264,0.7000486451,3.384815725,0.6144716316,0.3475600066,0.8302255369,2016,124,2016,2,Jodhpur,1
0.1873948986,3.353728598,-0.3342913625,-0.3174396128,-0.0313506233,0.1963595861,-0.2886334409,0.6791164577,2.072496643,0.3914450182,0.3533863634,0.8324676709,2016,124,2016,2,Jodhpur,1
0.163973268,3.235268153,-0.3404945845,-0.3101229951,-0.04385060351,0.1734384845,-0.2689623241,0.7125899548,2.093890193,0.3390050988,0.312136194,0.8185008786,2016,124,2016,2,Jodhpur,1
