ARVI,EVI,MNDVI,MNDWI,NDMI,NDVI,NDWI,NMDI,RDI,RECI,SAVI,TVI,SeasonYear,DayOfSeason,Year,Month,District,Drought
0.155563865,3.125654749,-0.3564626172,-0.3596270021,-0.1005188234,0.1636432255,-0.2688288487,0.6391276434,2.124563529,0.2724121736,0.2945091208,0.8143994343,2016,51,2015,11,Jodhpur,1
0.1563612245,3.186996646,-0.3575232111,-0.3590150705,-0.09976866598,0.1643545865,-0.2688808137,0.64032079,2.130643876,0.2748256789,0.2957891772,0.8148232192,2016,51,2015,11,Jodhpur,1
0.1625373897,3.244162669,-0.3650262815,-0.3355651751,-0.0734188983,0.1703572383,-0.2683260564,0.6782417959,2.174110404,0.3028885836,0.3065920277,0.8181403596,2016,51,2015,11,Jodhpur,1
0.1343811163,3.089193119,-0.3932277011,-0.3107251714,-0.07700552448,0.1430986368,-0.2394256682,0.7289274026,2.312945529,0.2583767156,0.2575368776,0.8015580004,2016,51,2015,11,Jodhpur,1
0.1719183008,3.393275711,-0.3506031337,-0.3680341556,-0.1067731959,0.1785469179,-0.2718569115,0.5970561026,2.107180241,0.3015491783,0.3213284581,0.8233464522,2016,51,2015,11,Jodhpur,1
0.1714995506,3.384966806,-0.3541850649,-0.3637913412,-0.09585322377,0.1784687401,-0.2775100844,0.6120987049,2.119923554,0.3043786549,0.3211874615,0.8232791161,2016,51,2015,11,Jodhpur,1
0.1272400929,3.013059073,-0.4023341474,-0.3197606671,-0.08636889464,0.1364553538,-0.2399558109,0.7376270516,2.359543551,0.2431615191,0.2455801555,0.7975588247,2016,51,2015,11,Jodhpur,1
0.155563865,3.125654749,-0.3564626172,-0.3596270021,-0.1005188234,0.1636432255,-0.2688288487,0.6391276434,2.124563529,0.2724121736,0.2945091208,0.8143994343,2016,51,2015,11,Jodhpur,1
0.1563612245,3.186996646,-0.3575232111,-0.3590150705,-0.09976866598,0.1643545865,-0.2688808137,0.64032079,2.130643876,0.2748256789,0.2957891772,0.8148232192,2016,51,2015,11,Jodhpur,1
0.1625373897,3.244162669,-0.3650262815,-0.3355651751,-0.0734188983,0.1703572383,-0.2683260564,0.6782417959,2.174110404,0.3028885836,0.3065920277,0.8181403596,2016,51,2015,11,Jodhpur,1
