system:index,ARVI,EVI,MNDVI,MNDWI,NDMI,NDVI,NDWI,NMDI,RDI,RECI,SAVI,TVI,date,.geo
20170103T054222_20170103T054222_T42RZP,0.1829120903,4.796739278,-0.4588032558,-0.3169719284,-0.07036950421,0.1868070593,-0.2521784745,0.6159022706,2.774479289,0.3822738355,0.3361903412,0.8279052097,2017-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170103T054222_20170103T054222_T43RBJ,0.1773309625,3.189039963,-0.4673698648,-0.3186219918,-0.0733593598,0.1817808042,-0.2511481934,0.63103515,2.835700493,0.3763424271,0.3271446298,0.8248045802,2017-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170103T054222_20170103T054222_T43RBK,0.1910889307,3.98207894,-0.4511006045,-0.3024064105,-0.04395406751,0.1958652618,-0.2615373322,0.6464981703,2.747485338,0.4164447597,0.3524940075,0.8324485918,2017-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170103T054222_20170103T054222_T43RBL,0.1327771854,2.922290937,-0.5176266185,-0.289735414,-0.07938360581,0.1392455652,-0.2151634342,0.6789610749,3.214928516,0.3031434454,0.250598617,0.7984897927,2017-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170103T054222_20170103T054222_T43RCJ,0.2123641309,3.450317447,-0.4507713962,-0.3319992206,-0.07578533221,0.214629877,-0.2627948223,0.5574698123,2.7549307,0.4450039751,0.3862564621,0.8438616427,2017-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170103T054222_20170103T054222_T43RCK,0.1941595682,3.702659598,-0.4624145656,-0.3286688913,-0.07309904457,0.1976451056,-0.2619215011,0.5797493093,2.925998453,0.4280940712,0.3556929859,0.8340676802,2017-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170103T054222_20170103T054222_T43RCL,0.1487322206,3.741413949,-0.5091807543,-0.2971998981,-0.07233503793,0.1548217585,-0.2295533964,0.6651369606,3.156067561,0.334673767,0.2786303676,0.8079682888,2017-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170103T054222_20170103T055138_T42RZP,0.1670219755,3.184257657,-0.4792124473,-0.3332812521,-0.08939876615,0.172386393,-0.2514406642,0.6269734208,2.905530307,0.3481963777,0.3102403033,0.8192355498,2017-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170103T054222_20170103T055138_T43RBJ,0.1678335294,4.2697757,-0.4786845971,-0.3315466382,-0.08770330544,0.1731033283,-0.2512102284,0.6284278864,2.903628486,0.3508856073,0.3115302784,0.8196440243,2017-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170103T054222_20170103T055138_T43RBK,0.1510471535,3.036170761,-0.4861930697,-0.3192550534,-0.0888200911,0.15685142,-0.2370963288,0.6413239984,2.953517007,0.3183024004,0.2822823872,0.8097549408,2017-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170103T054222_20170103T055138_T43RCJ,0.2086112532,4.312242632,-0.4498614095,-0.3301732023,-0.07527873276,0.2111172847,-0.261406198,0.5657096761,3.066757416,0.4328070521,0.3799361495,0.8419135606,2017-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170103T054222_20170103T055138_T43RCK,0.1911289835,3.021130456,-0.4684090776,-0.3379389693,-0.09285039231,0.1941276717,-0.2530146154,0.5640668052,2.85676381,0.3949700463,0.3493611094,0.8320309852,2017-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170116T055151_20170116T055240_T42RZP,0.1562520253,2.97057796,-0.3942633777,-0.3381794324,-0.08612040352,0.1635867564,-0.2599773272,0.6517020901,2.358159959,0.2957484867,0.2944032579,0.8137011161,2017-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170116T055151_20170116T055240_T43RBJ,0.1535279974,2.966306603,-0.398139069,-0.3387980348,-0.08844813795,0.1610022824,-0.2583993241,0.6547480744,2.373851786,0.2893558776,0.2897522532,0.8122123462,2017-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170116T055151_20170116T055240_T43RBK,0.2082176802,4.08765806,-0.3185853997,-0.3099624549,-0.02118573563,0.2147491649,-0.2901359456,0.6852192054,2.039763499,0.4304407132,0.386476597,0.842679705,2017-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170116T055151_20170116T055240_T43RBL,0.1618672273,3.444930577,-0.3723688732,-0.3080007511,-0.04983442886,0.1700268981,-0.2615806741,0.690461571,2.422513974,0.3331032474,0.3059932342,0.81657266,2017-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170116T055151_20170116T055240_T43RCK,0.2139556754,3.866295196,-0.309055378,-0.3170568784,-0.02049983033,0.2210184519,-0.2983632738,0.6673930303,1.984654891,0.4330063386,0.3977583535,0.8466458118,2017-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
