system:index,ARVI,EVI,MNDVI,MNDWI,NDMI,NDVI,NDWI,NMDI,RDI,RECI,SAVI,TVI,date,.geo
20190101T050211_20190101T050332_T44PKS,0.4509357225,-0.9008103913,-0.2914652887,-0.211999092,0.1637071851,0.446054908,-0.3663308576,0.5238423095,2.110127681,1.232587545,0.8027114227,0.9701867337,2019-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190101T050211_20190101T050332_T44PKT,0.5267716045,-0.4012055036,-0.1214432498,-0.1285861473,0.2875315589,0.5207350509,-0.4006376858,0.5688713414,1.385052984,1.62471881,0.937103646,1.007933954,2019-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190101T050211_20190101T050332_T44PLS,0.4334268824,-0.6457940185,-0.3230225035,-0.1941402996,0.1576208546,0.427840163,-0.3430267627,0.521321218,2.240982313,1.151288462,0.7699274731,0.9603548868,2019-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190101T050211_20190101T050332_T44PLT,0.4959565368,0.1193365679,-0.1480794459,-0.1155726208,0.2782783661,0.4902372506,-0.3811976604,0.5782180537,1.427771291,1.506989712,0.8822286575,0.9925583866,2019-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190104T051211_20190104T052230_T44PKS,0.4657044534,-0.3983212567,-0.1592506492,-0.172073995,0.2196584506,0.4612338868,-0.3811076019,0.5547225688,1.591129155,1.332977706,0.8300170464,0.9775207221,2019-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190104T051211_20190104T052230_T44PKT,0.524356747,-0.9767451107,-0.0513134792,-0.1188521072,0.3041163423,0.5189628876,-0.4076646663,0.5872637314,1.361375398,1.61753435,0.9339014412,1.006862937,2019-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190109T051209_20190109T051714_T44PKS,0.5133453994,-2.367691931,-0.07027233245,-0.2511296494,0.2029602012,0.5101817082,-0.4345040868,0.546818109,1.335649743,1.469582429,0.9180888116,1.001566996,2019-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190109T051209_20190109T051714_T44PKT,0.577663497,-3.013824075,0.04488156409,-0.1947109398,0.2931291225,0.5732648519,-0.458694134,0.5758141167,1.011405011,1.798982706,1.031606035,1.032812339,2019-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190111T050151_20190111T050150_T44PKS,0.3324165137,0.2143184306,-0.3183845367,-0.1454670767,0.1277224709,0.3266139925,-0.2715445053,0.5329696728,2.194381674,0.8122743386,0.5877667913,0.906010714,2019-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190111T050151_20190111T050150_T44PLS,0.3212674127,-0.3019450076,-0.3442126096,-0.1425437595,0.1180776514,0.3152840962,-0.2587038512,0.5306045447,2.311430782,0.7755433997,0.5673771309,0.8995625832,2019-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190114T051151_20190114T051817_T44PKT,0.5015000632,0.1558636841,-0.1933165902,-0.1378851887,0.2717097161,0.4962551686,-0.3945544167,0.5554258704,1.638756015,1.499029759,0.8930392956,0.9956519105,2019-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190119T051129_20190119T051337_T44PKT,0.4638371262,-0.876300181,-0.07933690372,-0.1528044111,0.2365209692,0.4590150227,-0.3753031084,0.5620419848,1.300494655,1.297364948,0.8260224213,0.9756897861,2019-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190124T051111_20190124T051109_T44PKS,0.4044138156,-0.01747687148,-0.3149825516,-0.2253257997,0.1397902434,0.4012801537,-0.3566900297,0.5020616284,2.222250425,1.073786653,0.7221210108,0.9459680298,2019-01-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190124T051111_20190124T051109_T44PKT,0.4633059983,-1.35992707,-0.2307078702,-0.1958777294,0.2070612362,0.4594046082,-0.3880456601,0.5266096918,1.800192424,1.29300018,0.8267175882,0.9764314357,2019-01-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190126T050059_20190126T050403_T44PKT,0.3524372001,0.8490890818,-0.3916631196,-0.1250206219,0.1611304865,0.3460068449,-0.2813191031,0.5022585896,2.619473443,0.9689247797,0.6226625568,0.9158186002,2019-01-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190126T050059_20190126T050403_T44PLS,0.265051797,1.248058911,-0.494694064,-0.1461135247,0.06929228976,0.2582228382,-0.2157648983,0.4722485745,3.417279377,0.6731106278,0.4646885651,0.8676733396,2019-01-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190126T050059_20190126T050403_T44PLT,0.3003356956,0.8022966224,-0.3957848117,-0.08175146282,0.1524794919,0.2923121403,-0.2328313857,0.4901480034,2.633514733,0.7718276337,0.5260299484,0.8870199421,2019-01-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190129T051049_20190129T052219_T44PKS,0.238439608,0.4904295553,-0.4873547629,-0.1601966097,0.06139416691,0.2356204552,-0.2219060502,0.542872158,3.146724183,0.6315929813,0.4240315681,0.855646856,2019-01-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190129T051049_20190129T052219_T44PKT,0.2371650283,0.4590892778,-0.4475480886,-0.1059665361,0.1023029044,0.2334800494,-0.2064885829,0.5931741673,2.717416579,0.6388680621,0.4201856603,0.8543353632,2019-01-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190131T050031_20190131T050032_T44PLS,0.2496810703,0.8138807459,-0.4310364273,-0.1785989187,0.0378472177,0.2447384873,-0.2184871435,0.4899619771,2.76514937,0.5736772541,0.4404281423,0.86065351,2019-01-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190131T050031_20190131T050032_T44PLT,0.2727335213,0.5142452989,-0.3547383625,-0.1408491695,0.09058022829,0.2670828832,-0.2316535023,0.4911967053,2.293736284,0.6266111674,0.4806372838,0.873407501,2019-01-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190203T051021_20190203T052412_T44PKS,0.3658526335,1.222280124,-0.3903960488,-0.2666065211,0.08359678999,0.3638821317,-0.3457811762,0.4717765536,2.620417425,0.9475929347,0.6548222286,0.9262205625,2019-02-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190203T051021_20190203T052412_T44PKT,0.4043224364,0.4770939529,-0.3334907234,-0.2404721316,0.1325653996,0.4015029153,-0.3635138526,0.489572513,2.286661584,1.090076338,0.7225215568,0.9459847886,2019-02-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190208T050959_20190208T052314_T44PKT,0.2933035936,1.581166154,-0.5228208934,-0.1722670775,0.08915471191,0.2894101051,-0.2586193466,0.4925277996,3.663054547,0.8488956542,0.5208110382,0.8837801691,2019-02-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190213T050921_20190213T052353_T44PKT,0.2642275189,1.699195816,-0.3724461321,-0.1147935139,0.1102083678,0.2585092281,-0.2261098516,0.5021957643,2.466255752,0.6760916259,0.4652014652,0.8675673713,2019-02-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190215T045909_20190215T051352_T44PLS,0.2024978992,1.857024956,-0.6148681123,-0.1505480388,0.01875904925,0.1966575985,-0.1707069102,0.451482016,4.559971018,0.5678448896,0.3539085124,0.8319761677,2019-02-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190218T050849_20190218T051729_T44PKS,0.2487424867,2.619483033,-0.557616209,-0.2477396463,0.004646238297,0.24760165,-0.2565089468,0.430063035,3.951047975,0.6554122414,0.4455779451,0.862036972,2019-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190218T050849_20190218T051729_T44PKT,0.2693237277,2.382821763,-0.5410858271,-0.2492661393,0.01875513653,0.2680758632,-0.2710638882,0.4306863357,3.810238568,0.7140831999,0.482422915,0.8735295438,2019-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190220T045831_20190220T050947_T44PLS,0.2533325933,1.870202744,-0.5085309542,-0.2165047614,0.01511084528,0.2496776235,-0.2343885995,0.4607201232,3.368322448,0.607704063,0.4493202527,0.8631527377,2019-02-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190220T045831_20190220T050947_T44PLT,0.2385664472,2.925633299,-0.5142252555,-0.270948082,-0.03484939697,0.236135014,-0.2433582378,0.406651362,3.373585853,0.5540187033,0.4249492138,0.8557922967,2019-02-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190223T050811_20190223T051829_T44PKS,0.3185972665,2.45367989,-0.3658977857,-0.3625216924,-0.006425069407,0.3209212629,-0.3597222464,0.4478137371,2.382040802,0.6900140879,0.5775210185,0.9031906207,2019-02-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190223T050811_20190223T051829_T44PKT,0.3326747818,2.576066388,-0.340346202,-0.3565133718,0.008066794026,0.3347617818,-0.3658695352,0.4497280454,2.265186766,0.7373163122,0.6024294901,0.9104307179,2019-02-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
