system:index,ARVI,EVI,MNDVI,MNDWI,NDMI,NDVI,NDWI,NMDI,RDI,RECI,SAVI,TVI,date,.geo
20200107T052209_20200107T052209_T43QFD,0.2530050325,1.853536437,-0.4659587268,-0.1728606359,9.01E-04,0.2427081657,-0.1745817151,0.4347150734,2.865392923,0.5704798577,0.4367563346,0.860975726,2020-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200107T052209_20200107T052209_T43QFE,0.2424938538,1.934404499,-0.4202064635,-0.1095306366,0.04474462376,0.2313140765,-0.1542128333,0.4692102921,2.543304818,0.5500920476,0.4162519689,0.8544970357,2020-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200107T052209_20200107T052209_T43QGE,0.2190130174,1.984874947,-0.4373823723,-0.1321317352,0.005289904921,0.2077340425,-0.1385901056,0.4623758269,2.702108424,0.4800337161,0.3738138064,0.8402850115,2020-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200107T052209_20200107T052209_T43QHE,0.1829225568,2.038616361,-0.3822716323,-0.0800504163,0.03369095339,0.1724342218,-0.1145342703,0.4710736841,2.374835203,0.4043230159,0.3103004031,0.8196773574,2020-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200107T052209_20200107T052209_T44QKK,0.1980806872,1.978603491,-0.4172588396,-0.1153360455,0.01545640713,0.1882969174,-0.1315097892,0.4620276391,2.553715749,0.4336105187,0.3388470449,0.8294278946,2020-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200112T052201_20200112T052758_T43QFD,0.3621357175,0.1847226535,-0.3623632713,-0.3251056729,-0.02353512167,0.3561786264,-0.3044647915,0.432385027,2.239612529,0.7371734822,0.6409230475,0.9239222881,2020-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200112T052201_20200112T052758_T43QFE,0.3859257682,0.3844326632,-0.3163193484,-0.2916928388,0.02071675256,0.3794019804,-0.3108974498,0.4652038885,1.987251659,0.7941299808,0.6827076591,0.9368868004,2020-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200112T052201_20200112T052758_T43QGC,0.3758534378,0.2928832152,-0.2545961792,-0.2789943228,0.04426997911,0.3703936085,-0.3183407341,0.5037442089,1.768195735,0.8172489504,0.6665040628,0.930733203,2020-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200112T052201_20200112T052758_T43QGD,0.4249554283,-0.06690957574,-0.2036393605,-0.2995741184,0.06492847887,0.4196637718,-0.3563018359,0.4980164256,1.591764483,0.9516819109,0.7551756705,0.9568894238,2020-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200112T052201_20200112T052758_T43QGE,0.3629453598,0.2514497616,-0.2898752486,-0.3361554992,-0.0307263752,0.3574455912,-0.3095360954,0.4425039356,1.889131251,0.6994539431,0.6431905138,0.9246734902,2020-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200112T052201_20200112T052758_T43QHC,0.4168996424,-0.2316475524,-0.2010235061,-0.2871310893,0.0706806209,0.4116133039,-0.349740166,0.508636734,1.570822941,0.92622794,0.7406845949,0.953019375,2020-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200112T052201_20200112T052758_T43QHD,0.4055989509,0.1096688809,-0.1820048692,-0.2940513054,0.05340562277,0.3999025317,-0.3397630578,0.5045683454,1.549426246,0.8698046857,0.7196047403,0.9454479193,2020-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200112T052201_20200112T052758_T43QHE,0.3752547598,-0.7620062966,-0.1904867807,-0.3649100897,-0.03239832562,0.371282727,-0.3364943336,0.4582885796,1.515237625,0.6778258968,0.6680937087,0.932134261,2020-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200112T052201_20200112T052758_T44QKH,0.4403176389,-0.2530564868,-0.1579843133,-0.2888527267,0.08654306475,0.434977502,-0.3655576884,0.5071530004,1.418764164,0.958069895,0.7827252642,0.9656794258,2020-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200112T052201_20200112T052758_T44QKJ,0.4475065818,-0.260417858,-0.1075394213,-0.2825726984,0.09557040024,0.4414360203,-0.3657602325,0.5189151601,1.305440722,0.9721531307,0.7943410978,0.9674077471,2020-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200112T052201_20200112T052758_T44QKK,0.3773680409,-1.924641765,-0.1937130778,-0.3626858226,-0.03109865741,0.3732604628,-0.3355817112,0.4597302488,1.531217037,0.6846423299,0.6716484702,0.9332633189,2020-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200117T052139_20200117T052324_T43QFD,0.2785088969,1.382669637,-0.3274018295,-0.2274267775,-0.006305251242,0.2708335343,-0.2227198511,0.4667362353,2.083542454,0.5742634782,0.4873701719,0.87659779,2020-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200117T052139_20200117T052324_T43QFE,0.269228276,1.543083087,-0.2686402054,-0.1707740406,0.03360820937,0.2609007216,-0.2038476311,0.5143172533,1.79194031,0.5521450077,0.4694955825,0.8711279144,2020-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200117T052139_20200117T052324_T43QGE,0.246357702,1.562557687,-0.3054179539,-0.1844179692,0.002686533637,0.2378902334,-0.1887777324,0.50017488,2.003229236,0.4988949113,0.4280836888,0.8575473936,2020-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200117T052139_20200117T052324_T43QHC,0.2762143662,1.569250935,-0.3318743815,-0.1245877197,0.08733452652,0.2682042084,-0.2097783065,0.5084711027,2.083502322,0.6520564332,0.4826519919,0.8749799978,2020-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200117T052139_20200117T052324_T44QKH,0.2830046722,1.628355143,-0.3239119991,-0.1054190824,0.104636919,0.2744519374,-0.2080280067,0.5124654133,2.009791097,0.6605770096,0.4938968731,0.8793071776,2020-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200122T052111_20200122T052733_T43QFD,0.2833460836,1.44529342,-0.481047624,-0.2532461905,-0.02993131769,0.2755481739,-0.2261192385,0.4167253156,3.027901625,0.6344245185,0.4958483404,0.8792507477,2020-01-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200122T052111_20200122T052733_T43QFE,0.2863913194,1.705281337,-0.4701769475,-0.180591033,0.02003002609,0.2760172896,-0.2006682033,0.4419290019,2.903346399,0.6634221809,0.4966900518,0.8800379406,2020-01-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200122T052111_20200122T052733_T43QGC,0.2712721634,1.583043083,-0.4767499761,-0.1775019821,0.03731956103,0.263348453,-0.2132672729,0.4640952127,2.964574149,0.6826726371,0.4739017819,0.8721546507,2020-01-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200122T052111_20200122T052733_T43QGD,0.295991555,1.434831181,-0.4317313854,-0.1683128004,0.06254540647,0.2879567336,-0.2284441291,0.4705721624,2.667250467,0.7495787386,0.5181941579,0.8858550828,2020-01-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200122T052111_20200122T052733_T43QGE,0.2479992491,1.723781202,-0.4686343148,-0.2007314282,-0.02131980823,0.2385660668,-0.1812780261,0.4309114154,2.941897489,0.5579164072,0.4292976657,0.858121454,2020-01-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200122T052111_20200122T052733_T43QHC,0.3006988184,1.467688616,-0.4570267119,-0.1717925336,0.06216014818,0.2925896459,-0.2313706387,0.4693449896,2.802422317,0.7648792275,0.526527149,0.8890600135,2020-01-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200122T052111_20200122T052733_T43QHD,0.2691827411,1.709909337,-0.4513559213,-0.145566023,0.05321713569,0.2600162679,-0.1972059819,0.4665026548,2.805658939,0.6724039815,0.4679081955,0.8702544578,2020-01-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200122T052111_20200122T052733_T43QHE,0.2427716638,1.771272043,-0.4998928409,-0.1995286476,-0.02051528497,0.2340403561,-0.1802061014,0.4279573345,3.090491974,0.5489225291,0.4211608938,0.8563106217,2020-01-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200122T052111_20200122T052733_T44QKH,0.3170720109,1.520517916,-0.4366317005,-0.1613081559,0.07977594558,0.308531253,-0.2380461704,0.4690783742,2.623807345,0.7948716152,0.5552138039,0.8984790355,2020-01-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200122T052111_20200122T052733_T44QKJ,0.2984163064,1.677652845,-0.4100719587,-0.1221508177,0.09204563931,0.2886307636,-0.21157377,0.4812012384,2.500351702,0.7400351471,0.5194004337,0.8869223177,2020-01-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200122T052111_20200122T052733_T44QKK,0.2360195286,1.80266819,-0.4993647092,-0.1914598127,-0.01951443296,0.2271316592,-0.1733413463,0.4295106053,3.114479366,0.5322631868,0.4087277169,0.8523088104,2020-01-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200127T052059_20200127T052249_T43QFD,0.3122790336,1.186840011,-0.4850840029,-0.3064443288,-0.0453499435,0.3060412682,-0.2647172103,0.4085754442,3.063277912,0.7181079006,0.5507168765,0.8961128838,2020-01-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200127T052059_20200127T052249_T43QFE,0.3405599672,1.042324606,-0.4639870363,-0.2727838429,-0.001884202306,0.3332452139,-0.2708863083,0.438307315,2.838744857,0.7864263608,0.5996650939,0.9118129671,2020-01-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200127T052059_20200127T052249_T43QGC,0.3177463,0.447747579,-0.4413527409,-0.2720984763,0.0122926848,0.3129464272,-0.2823095202,0.4668451833,2.750068065,0.7910931797,0.563143638,0.8991310279,2020-01-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200127T052059_20200127T052249_T43QGD,0.3610652277,0.3307324185,-0.4087187376,-0.2698168783,0.0417719959,0.3555452596,-0.3069851293,0.47117481,2.535632333,0.9209889782,0.6398081505,0.9227588472,2020-01-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200127T052059_20200127T052249_T43QGE,0.3082074037,1.237176836,-0.4649408556,-0.2908342553,-0.03848676154,0.3016086379,-0.2558778722,0.4308059262,2.915191493,0.6982756054,0.542732472,0.8936400502,2020-01-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200127T052059_20200127T052249_T43QHC,0.3607651981,-0.7422476565,-0.4073975787,-0.2773180522,0.03996954126,0.3559956784,-0.3126468697,0.476946706,2.524284385,0.9059042688,0.6406143397,0.9230366196,2020-01-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200127T052059_20200127T052249_T43QHD,0.3415835622,0.317637216,-0.4007121752,-0.2666542108,0.02451955279,0.3359441695,-0.2883769254,0.4697120082,2.510103181,0.8264493814,0.604526046,0.9118285825,2020-01-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200127T052059_20200127T052249_T43QHE,0.2991858165,0.6539503521,-0.452367945,-0.2967217554,-0.04610455228,0.2936946549,-0.2547451253,0.4325450969,2.751921328,0.6366373492,0.5284957214,0.8901815339,2020-01-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200127T052059_20200127T052249_T44QKH,0.3893239614,-0.01983173447,-0.3774692008,-0.2635924177,0.06898740295,0.3840548326,-0.3259283582,0.4900576441,2.310169803,0.9665695605,0.6911044691,0.9387989089,2020-01-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200127T052059_20200127T052249_T44QKJ,0.3728533423,0.4226010581,-0.346615386,-0.2398731319,0.06726880708,0.3665048701,-0.3014934136,0.4927169776,2.17487895,0.8967153213,0.6595200015,0.9289300947,2020-01-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200127T052059_20200127T052249_T44QKK,0.2961627231,0.6547867394,-0.4619558808,-0.2944161937,-0.04844960829,0.2904597582,-0.2505009304,0.4311676,2.827389177,0.6285367997,0.5226718133,0.8883687907,2020-01-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200201T052031_20200201T052329_T43QFD,0.2782714515,1.235282963,-0.3568818417,-0.2455109723,-0.01544284538,0.2714408272,-0.2314685295,0.4532117622,2.231574161,0.5960903639,0.4884642742,0.8763731127,2020-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200201T052031_20200201T052329_T43QFE,0.3250780638,1.02372986,-0.3379077367,-0.252456532,0.01228379258,0.318126052,-0.2638857213,0.4703584589,2.091303021,0.6921593613,0.5724697287,0.9035112051,2020-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200201T052031_20200201T052329_T43QGE,0.2905752757,1.148009071,-0.3577344206,-0.2724703658,-0.03250171366,0.283874714,-0.2420724965,0.4478784006,2.226771063,0.6053585323,0.5108319238,0.8837618309,2020-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200201T052031_20200201T052329_T43QHE,0.2785513957,1.268599812,-0.3918535971,-0.2614353831,-0.03295245451,0.2721147394,-0.2307816649,0.4502904433,2.350048711,0.5693888766,0.4896737096,0.8781360943,2020-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200201T052031_20200201T052329_T44QKK,0.2719743882,1.323944445,-0.3977691991,-0.257851403,-0.03622175948,0.2653913168,-0.2241648346,0.4508463647,2.387613578,0.5515672992,0.477573156,0.8743765441,2020-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
