system:index,ARVI,EVI,MNDVI,MNDWI,NDMI,NDVI,NDWI,NMDI,RDI,RECI,SAVI,TVI,date,.geo
20160129T054102_20160129T054903_T42RZP,0.1135036923,2.756997338,-0.5933032142,-0.3425167274,-0.1292873793,0.1220733062,-0.2230706155,0.6006140449,3.996141835,0.2725705491,0.2196949799,0.7880674072,2016-01-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160129T054102_20160129T054903_T43RBJ,0.1158224464,3.033522391,-0.5915719387,-0.3408607415,-0.1263601235,0.1242593323,-0.2240990297,0.6010018332,3.98456278,0.2790856369,0.2236289517,0.789357611,2016-01-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160129T054102_20160129T054903_T43RBK,0.1759926321,4.30940592,-0.5511578314,-0.3042692726,-0.05054678138,0.1823530666,-0.2568878877,0.6216347671,3.630392438,0.4334629689,0.3281785635,0.8237154971,2016-01-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160129T054102_20160129T054903_T43RCJ,0.1402683294,2.697700808,-0.5699405393,-0.3521970085,-0.1251786507,0.1475458092,-0.2369371271,0.5524672781,3.780064124,0.3249682735,0.2655350587,0.8033927705,2016-01-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160129T054102_20160129T054903_T43RCK,0.1603869527,3.670136791,-0.5583604737,-0.3395354561,-0.09374212535,0.1670617734,-0.2534915957,0.5653923554,3.663382239,0.3778447624,0.3006571901,0.8150652694,2016-01-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160201T055052_20160201T055848_T42RYQ,0.2478082478,4.929598003,-0.226072015,-0.2805312905,0.04747348141,0.2549503877,-0.3240473973,0.7030288456,1.744376002,0.578561301,0.4588333656,0.8635954138,2016-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160201T055052_20160201T055848_T42RYR,0.1736558503,3.29438598,-0.286393011,-0.28996998,-0.02002718189,0.1825104339,-0.2711201729,0.6875390257,1.853940973,0.3443828125,0.3284653109,0.8243275671,2016-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160201T055052_20160201T055848_T42RZP,0.1138203615,5.925583677,-0.4646289379,-0.3374340956,-0.117476274,0.1230198051,-0.2291909988,0.6465276524,2.792397315,0.2347267471,0.2213972724,0.7885491214,2016-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160201T055052_20160201T055848_T43RBJ,0.111671705,3.04260459,-0.4680055177,-0.3381007049,-0.1195823134,0.1210067198,-0.2278487084,0.6482354405,2.807001236,0.2295661219,0.2177745532,0.7874057479,2016-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160201T055052_20160201T055848_T43RBK,0.2060883846,3.722471963,-0.3144916714,-0.3061211345,-0.01234622435,0.2136479954,-0.2939564448,0.6821299827,2.035635506,0.4443288334,0.3844996791,0.841673979,2016-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
