system:index,ARVI,EVI,MNDVI,MNDWI,NDMI,NDVI,NDWI,NMDI,RDI,RECI,SAVI,TVI,date,.geo
20180101T050209_20180101T050205_T44PKS,0.4723436194,-1.37422433,-0.3049784002,-0.2484442014,0.1574969522,0.4684679443,-0.3932016818,0.529163965,2.128686288,1.368382884,0.843042127,0.9819052509,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101T050209_20180101T050205_T44PKT,0.5243163566,-0.7614952587,-0.1858222288,-0.1758807043,0.2456628107,0.5188153855,-0.4048828765,0.5542251404,1.598459137,1.645834635,0.9336354474,1.007313757,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101T050209_20180101T050205_T44PLS,0.4848722239,-1.379197685,-0.2833603607,-0.2139662762,0.1930397924,0.4802783537,-0.3916036533,0.5443277855,2.0464396,1.462778062,0.864294024,0.9873788787,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101T050209_20180101T050205_T44PLT,0.5595726001,-0.5131329886,-0.1931913812,-0.2031868409,0.2518850263,0.5542015106,-0.4339709473,0.5408466092,1.60554265,1.801424324,0.9973098103,1.025477733,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180104T051209_20180104T052528_T44PKS,0.3882778972,0.620678223,-0.3000968666,-0.1408103448,0.1653759414,0.3822578584,-0.3031884384,0.5154236096,2.104543345,1.12915692,0.6879021037,0.9370140602,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180104T051209_20180104T052528_T44PKT,0.4376415465,0.7867649512,-0.2042855334,-0.07190941394,0.2540050805,0.4304263122,-0.32168097,0.5526228911,1.687246743,1.371431644,0.7745811612,0.9623475706,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180114T051139_20180114T051142_T44PKS,0.4954429868,-1.064387897,-0.2818101659,-0.2641180977,0.156367275,0.4914475334,-0.4056927276,0.5081737571,2.097548222,1.620661333,0.8843686742,0.9920853072,2018-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180114T051139_20180114T051142_T44PKT,0.5612753285,-1.771090793,-0.1735131361,-0.2074998154,0.2529537197,0.5564631147,-0.4363570065,0.5514603329,1.658726816,2.069569281,1.0013657,1.02425584,2018-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180116T050121_20180116T051545_T44PLS,0.2515654359,1.424223363,-0.3973001423,-0.02045185588,0.1607354594,0.2438989162,-0.1824633553,0.5483740028,2.620202688,0.7109229429,0.4389303086,0.8600637819,2018-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180124T051109_20180124T051817_T44PKS,0.3145065316,1.120254313,-0.4531371881,-0.0964109247,0.1422991166,0.3079545232,-0.2394873409,0.4947126337,3.097102549,0.9527151585,0.5541990406,0.896889803,2018-01-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180124T051109_20180124T051817_T44PKT,0.3681560372,1.166087096,-0.3625489406,-0.03347741066,0.2355303475,0.3608934247,-0.269736651,0.5368685612,2.440958714,1.172869482,0.6494704109,0.9262520645,2018-01-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180129T051041_20180129T052323_T44PKS,0.3719889017,0.4782357106,-0.407065443,-0.135194894,0.1625415132,0.3662556817,-0.2934612566,0.5159878403,2.794947893,1.158516136,0.6590966853,0.9259004579,2018-01-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180129T051041_20180129T052323_T44PKT,0.4557004604,0.03945735119,-0.3314733549,-0.1237777948,0.23689288,0.4499774501,-0.3519616325,0.5490205431,2.33651408,1.50089638,0.8097603593,0.9709965501,2018-01-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180131T050029_20180131T051400_T44PKS,0.4205285494,0.1984452016,-0.2841747115,-0.288766043,0.09721706788,0.4180803768,-0.3775332878,0.5112388181,2.035229541,1.055774351,0.7523741406,0.955563523,2018-01-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180131T050029_20180131T051400_T44PKT,0.4956808456,-1.244932605,-0.1332328216,-0.2392940576,0.1900696808,0.4919447565,-0.4121416784,0.5442655521,1.496098663,1.365550513,0.8852908436,0.9930398107,2018-01-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
